kind,d,diag_class,A,B,x21,raw_assoc,assoc,raw_blocks,assoc_blocks
max_raw199,000,constant,101010010,110001001,101010010110001001000,199,597,RRR=19;RRS=36;RSR=36;RSS=54;RST=54,RRR=57;RRS=108;RSR=108;RSS=162;RST=162
max_raw199,000,constant,202020020,220002002,202020020220002002000,199,597,RRR=19;RRS=36;RSR=36;RSS=54;RST=54,RRR=57;RRS=108;RSR=108;RSS=162;RST=162
max_raw199,111,constant,110001110,011100011,110001110011100011111,199,597,RRR=19;RRS=36;RSR=36;RSS=54;RST=54,RRR=57;RRS=108;RSR=108;RSS=162;RST=162
max_raw199,111,constant,112221112,211122211,112221112211122211111,199,597,RRR=19;RRS=36;RSR=36;RSS=54;RST=54,RRR=57;RRS=108;RSR=108;RSS=162;RST=162
max_raw199,222,constant,022022200,202202020,022022200202202020222,199,597,RRR=19;RRS=36;RSR=36;RSS=54;RST=54,RRR=57;RRS=108;RSR=108;RSS=162;RST=162
max_raw199,222,constant,122122211,212212121,122122211212212121222,199,597,RRR=19;RRS=36;RSR=36;RSS=54;RST=54,RRR=57;RRS=108;RSR=108;RSS=162;RST=162
min_raw21,100,two-valued_no_fixed,010210010,021021021,010210010021021021100,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,100,two-valued_no_fixed,210210210,001021001,210210210001021001100,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,101,two-valued_no_fixed,210110110,021021021,210110110021021021101,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,101,two-valued_no_fixed,210210210,021011011,210210210021011011101,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,120,permutation,010210010,021021021,010210010021021021120,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,120,permutation,021021021,102202202,021021021102202202120,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,120,permutation,021022022,102102102,021022022102102102120,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,120,permutation,102102102,211211210,102102102211211210120,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,120,permutation,112112102,210210210,112112102210210210120,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,120,permutation,210210210,001021001,210210210001021001120,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,121,two-valued_no_fixed,102102102,211211210,102102102211211210121,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,121,two-valued_no_fixed,112112102,210210210,112112102210210210121,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,200,two-valued_no_fixed,020020021,102102102,020020021102102102200,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,200,two-valued_no_fixed,021021021,002002102,021021021002002102200,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,201,permutation,020020021,102102102,020020021102102102201,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,201,permutation,021021021,002002102,021021021002002102201,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,201,permutation,102102102,212210212,102102102212210212201,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,201,permutation,122102122,210210210,122102122210210210201,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,201,permutation,210110110,021021021,210110110021021021201,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,201,permutation,210210210,021011011,210210210021011011201,21,63,RRR=9;RRS=2;RSR=2;RSS=4;RST=4,RRR=27;RRS=6;RSR=6;RSS=12;RST=12
min_raw21,220,two-valued_no_fixed,021021021,102202202,021021021102202202220,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,220,two-valued_no_fixed,021022022,102102102,021022022102102102220,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,221,two-valued_no_fixed,102102102,212210212,102102102212210212221,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
min_raw21,221,two-valued_no_fixed,122102122,210210210,122102122210210210221,21,63,RRR=11;RRS=2;RSR=2;RSS=2;RST=4,RRR=33;RRS=6;RSR=6;RSS=6;RST=12
