stratum,A_param,B_param,d,x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
affine,000,000,000,000000000000000000000,489,530,224,306,3180,1344,1836,2268,432,108,-4,16,972,1080,-216,0,0
affine,000,001,000,000000000111111111000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
affine,000,002,000,000000000222222222000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
affine,000,010,000,000000000012012012000,282,1163,389,774,6978,2334,4644,4716,72,18,-4,16,900,1062,918,36,1728
affine,000,011,000,000000000120120120000,309,902,380,522,5412,2280,3132,3132,0,0,0,14,900,900,900,0,432
affine,000,012,000,000000000201201201000,282,1163,389,774,6978,2334,4644,4716,72,18,-4,16,900,1062,918,36,1728
affine,000,020,000,000000000021021021000,282,1163,389,774,6978,2334,4644,4716,72,18,-4,16,900,1062,918,36,1728
affine,000,021,000,000000000102102102000,282,1163,389,774,6978,2334,4644,4716,72,18,-4,16,900,1062,918,36,1728
affine,000,022,000,000000000210210210000,309,902,380,522,5412,2280,3132,3132,0,0,0,14,900,900,900,0,432
affine,000,100,000,000000000000111222000,471,824,488,336,4944,2928,2016,2304,288,72,-4,12,540,900,252,0,324
affine,000,101,000,000000000111222000000,246,1343,908,435,8058,5448,2610,3540,930,159,-10,16,702,252,252,594,810
affine,000,102,000,000000000222000111000,246,1343,908,435,8058,5448,2610,3540,930,159,-10,16,702,252,252,594,810
affine,000,110,000,000000000012120201000,339,1200,736,464,7200,4416,2784,3474,690,165,-6,16,648,540,264,468,864
affine,000,111,000,000000000120201012000,339,1038,736,302,6228,4416,1812,2796,984,222,-6,16,648,432,264,252,216
affine,000,112,000,000000000201012120000,339,1200,736,464,7200,4416,2784,3474,690,165,-6,16,648,540,264,468,864
affine,000,120,000,000000000021102210000,339,1200,736,464,7200,4416,2784,3474,690,165,-6,16,648,540,264,468,864
affine,000,121,000,000000000102210021000,339,1200,736,464,7200,4416,2784,3474,690,165,-6,16,648,540,264,468,864
affine,000,122,000,000000000210021102000,339,1038,736,302,6228,4416,1812,2796,984,222,-6,16,648,432,264,252,216
affine,000,200,000,000000000000222111000,399,1052,584,468,6312,3504,2808,3120,312,84,-4,18,576,1116,252,540,324
affine,000,201,000,000000000111000222000,273,1274,872,402,7644,5232,2412,3324,912,168,-10,16,702,324,252,324,810
affine,000,202,000,000000000222111000000,273,1274,872,402,7644,5232,2412,3324,912,168,-10,16,702,324,252,324,810
affine,000,210,000,000000000012201120000,333,1206,748,458,7236,4488,2748,3480,732,180,-6,18,660,588,264,372,864
affine,000,211,000,000000000120012201000,333,1092,736,356,6552,4416,2136,3084,948,210,-6,18,660,552,264,444,216
affine,000,212,000,000000000201120012000,333,1206,748,458,7236,4488,2748,3480,732,180,-6,18,660,588,264,372,864
affine,000,220,000,000000000021210102000,333,1206,748,458,7236,4488,2748,3480,732,180,-6,18,660,588,264,372,864
affine,000,221,000,000000000102021210000,333,1206,748,458,7236,4488,2748,3480,732,180,-6,18,660,588,264,372,864
affine,000,222,000,000000000210102021000,333,1092,736,356,6552,4416,2136,3084,948,210,-6,18,660,552,264,444,216
affine,001,000,000,111111111000000000000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
