stratum,rule,a,b,d,x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
column_blind,cb_00,0,0,000,000000000000000000000,489,530,224,306,3180,1344,1836,2268,432,108,-4,16,972,1080,-216,0,0
column_blind,cb_01,0,1,000,000000000111111111000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_02,0,2,000,000000000222222222000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_10,1,0,000,111111111000000000000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_11,1,1,000,111111111111111111000,381,1052,260,792,6312,1560,4752,4752,0,0,0,16,756,1836,2160,0,0
column_blind,cb_12,1,2,000,111111111222222222000,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
column_blind,cb_20,2,0,000,222222222000000000000,273,1304,404,900,7824,2424,5400,5400,0,0,0,16,864,1134,1458,0,1944
column_blind,cb_21,2,1,000,222222222111111111000,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
column_blind,cb_22,2,2,000,222222222222222222000,381,1052,260,792,6312,1560,4752,4752,0,0,0,16,756,1836,2160,0,0
column_blind,cb_00,0,0,001,000000000000000000001,471,590,214,376,3540,1284,2256,2472,216,108,-2,18,960,1296,0,0,0
column_blind,cb_01,0,1,001,000000000111111111001,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_02,0,2,001,000000000222222222001,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_10,1,0,001,111111111000000000001,255,1328,430,898,7968,2580,5388,5388,0,0,0,18,798,1134,1512,0,1944
column_blind,cb_11,1,1,001,111111111111111111001,363,1040,322,718,6240,1932,4308,4320,12,6,-2,18,636,1620,2052,0,0
column_blind,cb_12,1,2,001,111111111222222222001,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
column_blind,cb_20,2,0,001,222222222000000000001,255,1373,340,1033,8238,2040,6198,6198,0,0,0,18,852,1458,1620,0,2268
column_blind,cb_21,2,1,001,222222222111111111001,201,1463,394,1069,8778,2364,6414,6414,0,0,0,16,690,1296,2160,0,2268
