locus,canonical_x21,orbit_members,orbit_size_effective_S3,tau_fixed,representative_x21,H_tot,I_tot,B_tot,H_pos,H_neg_abs,N_neg,Assoc
Hmax,000000000111111111220,000000000111111111220;222222222000000000101,2,False,000000000111111111220,7302,9150,1848,7308,6,3,195
Hmax,000000000111111111221,000000000111111111221;222222222000000000121,2,False,000000000111111111221,7302,9150,1848,7308,6,3,195
Hmax,000000000222222222101,000000000222222222101;111111111000000000220,2,False,000000000222222222101,7302,9150,1848,7308,6,3,195
Hmax,000000000222222222121,000000000222222222121;111111111000000000221,2,False,000000000222222222121,7302,9150,1848,7308,6,3,195
Hmax,111111111222222222100,111111111222222222100;111111111222222222200,2,False,111111111222222222100,7302,9150,1848,7308,6,3,195
Hmax,222222222111111111100,222222222111111111100;222222222111111111200,2,False,222222222111111111100,7302,9150,1848,7308,6,3,195
Hmin,012120201012120201012,012120201012120201012,1,True,012120201012120201012,-2268,7452,9720,1404,3672,432,189
Hmin,012120201120201012012,012120201120201012012;201012120012120201012,2,False,012120201120201012012,-2268,7452,9720,1404,3672,432,189
Hmin,111222000111222000012,111222000111222000012;222000111222000111012,2,False,111222000111222000012,-2268,9396,11664,972,3240,288,81
Hmin,120201012120201012012,120201012120201012012;201012120201012120012,2,False,120201012120201012012,-2268,7452,9720,1404,3672,432,189
Hmin,120201012201012120012,120201012201012120012,1,True,120201012201012120012,-2268,7452,9720,1404,3672,432,189
pure_frontier,000000000111111111222,000000000111111111222;222222222000000000111,2,False,000000000111111111222,7020,8904,1884,7020,0,0,219
pure_frontier,000000000222222222111,000000000222222222111;111111111000000000222,2,False,000000000222222222111,7020,8904,1884,7020,0,0,219
pure_frontier,111111111222222222000,111111111222222222000,1,True,111111111222222222000,7020,8904,1884,7020,0,0,219
pure_frontier,222222222111111111000,222222222111111111000,1,True,222222222111111111000,7020,8904,1884,7020,0,0,219
