locus,block,local_H_value,count
Hmax,RRR,-2,12
Hmax,RRR,0,12
Hmax,RRR,4,48
Hmax,RRR,10,96
Hmax,RRR,12,12
Hmax,RRR,14,12
Hmax,RRR,16,48
Hmax,RRR,18,84
Hmax,RRS,4,108
Hmax,RRS,8,216
Hmax,RRS,10,108
Hmax,RRS,12,108
Hmax,RRS,14,108
Hmax,RSR,12,216
Hmax,RSR,14,216
Hmax,RSR,16,216
Hmax,SRR,0,648
Hmax,DIST,16,648
Hmin,RRR,-6,48
Hmin,RRR,0,120
Hmin,RRR,6,48
Hmin,RRS,-14,180
Hmin,RRS,-8,144
Hmin,RRS,4,36
Hmin,RRS,10,72
Hmin,RSR,-14,60
Hmin,RSR,-8,96
Hmin,RSR,-2,132
Hmin,RSR,4,12
Hmin,RSR,10,48
Hmin,RSR,16,84
Hmin,SRR,-6,72
Hmin,SRR,0,288
Hmin,SRR,6,72
Hmin,DIST,-10,324
Hmin,DIST,0,108
pure_frontier,RRR,0,30
pure_frontier,RRR,4,24
pure_frontier,RRR,10,24
pure_frontier,RRR,14,84
pure_frontier,RRS,8,216
pure_frontier,RRS,12,108
pure_frontier,RSR,12,216
pure_frontier,RSR,16,108
pure_frontier,SRR,0,324
pure_frontier,DIST,16,324
