source,locus,stratum,rule,a,b,A_param,B_param,d,x21,tau_x21,canonical_x21,Assoc,rawI,rawB,rawH,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,H_RRR,H_RRS,H_RSR,H_SRR,H_DIST
affine,pure_frontier_7020,affine,,,,001,002,000,111111111222222222000,111111111222222222000,111111111222222222000,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
affine,pure_frontier_7020,affine,,,,002,001,000,222222222111111111000,222222222111111111000,222222222111111111000,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
affine,Hmin_minus2268,affine,,,,101,101,012,111222000111222000012,222000111222000111012,111222000111222000012,81,1566,1944,-378,9396,11664,-2268,972,3240,288,-14,16,0,-2268,0,0,0
affine,Hmin_minus2268,affine,,,,102,102,012,222000111222000111012,111222000111222000012,111222000111222000012,81,1566,1944,-378,9396,11664,-2268,972,3240,288,-14,16,0,-2268,0,0,0
affine,Hmin_minus2268,affine,,,,110,110,012,012120201012120201012,012120201012120201012,012120201012120201012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
affine,Hmin_minus2268,affine,,,,110,111,012,012120201120201012012,201012120012120201012,012120201120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
affine,Hmin_minus2268,affine,,,,111,111,012,120201012120201012012,201012120201012120012,120201012120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
affine,Hmin_minus2268,affine,,,,111,112,012,120201012201012120012,120201012201012120012,120201012201012120012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
affine,Hmin_minus2268,affine,,,,112,110,012,201012120012120201012,012120201120201012012,012120201120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
affine,Hmin_minus2268,affine,,,,112,112,012,201012120201012120012,120201012120201012012,120201012120201012012,189,1242,1620,-378,7452,9720,-2268,1404,3672,432,-14,16,0,-648,0,0,-1620
affine,Hmax_7302,affine,,,,001,002,100,111111111222222222100,111111111222222222200,111111111222222222100,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,002,001,100,222222222111111111100,222222222111111111200,222222222111111111100,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,000,002,101,000000000222222222101,111111111000000000220,000000000222222222101,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,002,000,101,222222222000000000101,000000000111111111220,000000000111111111220,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,pure_frontier_7020,affine,,,,000,002,111,000000000222222222111,111111111000000000222,000000000222222222111,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
affine,pure_frontier_7020,affine,,,,002,000,111,222222222000000000111,000000000111111111222,000000000111111111222,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
affine,Hmax_7302,affine,,,,000,002,121,000000000222222222121,111111111000000000221,000000000222222222121,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,002,000,121,222222222000000000121,000000000111111111221,000000000111111111221,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,001,002,200,111111111222222222200,111111111222222222100,111111111222222222100,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,002,001,200,222222222111111111200,222222222111111111100,222222222111111111100,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,000,001,220,000000000111111111220,222222222000000000101,000000000111111111220,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,001,000,220,111111111000000000220,000000000222222222101,000000000222222222101,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,000,001,221,000000000111111111221,222222222000000000121,000000000111111111221,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,Hmax_7302,affine,,,,001,000,221,111111111000000000221,000000000222222222121,000000000222222222121,195,1525,308,1217,9150,1848,7302,7308,6,3,-2,18,930,1512,2268,0,2592
affine,pure_frontier_7020,affine,,,,000,001,222,000000000111111111222,222222222000000000111,000000000111111111222,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
affine,pure_frontier_7020,affine,,,,001,000,222,111111111000000000222,000000000222222222111,000000000222222222111,219,1484,314,1170,8904,1884,7020,7020,0,0,0,16,756,1512,2160,0,2592
