center,radius,H_tot,count
PAB,1,5604,2
PAB,1,5940,2
PAB,1,5952,4
PAB,1,5982,2
PAB,1,6060,2
PAB,1,6132,2
PAB,1,6174,2
PAB,1,6234,2
PAB,1,6270,2
PAB,1,6288,2
PAB,1,6366,2
PAB,1,6414,2
PAB,1,6432,2
PAB,1,6462,2
PAB,1,6480,2
PAB,1,6564,2
PAB,1,6582,2
PAB,1,6630,2
PAB,1,6648,2
PAB,1,7302,2
PAB,2,4524,2
PAB,2,4542,2
PAB,2,4548,2
PAB,2,4584,2
PAB,2,4656,2
PAB,2,4698,2
PAB,2,4818,2
PAB,2,4836,2
PAB,2,4860,3
PAB,2,4878,2
PAB,2,4890,4
PAB,2,4896,2
PAB,2,4920,3
PAB,2,4926,2
PAB,2,4938,2
PAB,2,4950,2
PAB,2,4956,4
PAB,2,4968,1
PAB,2,4992,2
PAB,2,4998,2
PAB,2,5004,2
PAB,2,5016,4
PAB,2,5040,2
PAB,2,5046,4
PAB,2,5052,2
PAB,2,5058,2
PAB,2,5064,3
PAB,2,5076,7
PAB,2,5088,2
PAB,2,5106,2
PAB,2,5112,2
PAB,2,5130,2
PAB,2,5142,2
PAB,2,5154,4
PAB,2,5160,10
PAB,2,5166,4
PAB,2,5172,4
PAB,2,5184,2
PAB,2,5202,4
PAB,2,5208,2
PAB,2,5214,4
PAB,2,5220,4
PAB,2,5226,4
PAB,2,5238,4
PAB,2,5244,2
PAB,2,5250,2
PAB,2,5256,4
PAB,2,5262,2
PAB,2,5268,4
PAB,2,5280,8
PAB,2,5292,10
PAB,2,5304,1
PAB,2,5310,4
PAB,2,5316,4
PAB,2,5322,2
PAB,2,5328,5
PAB,2,5334,6
PAB,2,5340,2
PAB,2,5346,4
PAB,2,5352,2
PAB,2,5358,2
PAB,2,5364,4
PAB,2,5370,4
PAB,2,5376,7
PAB,2,5382,2
PAB,2,5388,6
PAB,2,5394,6
PAB,2,5400,7
PAB,2,5412,4
PAB,2,5418,2
PAB,2,5424,2
PAB,2,5430,8
PAB,2,5436,8
PAB,2,5448,2
PAB,2,5454,12
PAB,2,5460,8
PAB,2,5466,4
PAB,2,5472,10
PAB,2,5478,6
PAB,2,5484,2
PAB,2,5496,14
PAB,2,5502,4
PAB,2,5508,6
PAB,2,5514,8
PAB,2,5520,4
PAB,2,5526,14
PAB,2,5532,5
PAB,2,5538,6
PAB,2,5544,7
PAB,2,5550,4
PAB,2,5556,6
PAB,2,5562,4
PAB,2,5568,2
PAB,2,5574,6
PAB,2,5580,8
PAB,2,5586,2
PAB,2,5592,4
PAB,2,5604,6
PAB,2,5610,4
PAB,2,5616,5
PAB,2,5622,2
PAB,2,5628,8
PAB,2,5634,8
PAB,2,5640,8
PAB,2,5646,4
PAB,2,5652,2
PAB,2,5658,2
PAB,2,5664,2
PAB,2,5670,4
PAB,2,5676,4
PAB,2,5682,6
PAB,2,5688,4
PAB,2,5694,2
PAB,2,5706,2
PAB,2,5712,2
PAB,2,5718,4
PAB,2,5724,8
PAB,2,5730,4
PAB,2,5736,8
PAB,2,5742,2
PAB,2,5748,2
PAB,2,5754,4
PAB,2,5760,5
PAB,2,5766,6
PAB,2,5778,4
PAB,2,5784,6
PAB,2,5790,6
PAB,2,5796,12
PAB,2,5802,6
PAB,2,5808,6
PAB,2,5832,8
PAB,2,5838,2
PAB,2,5844,6
PAB,2,5850,4
PAB,2,5856,2
PAB,2,5862,4
PAB,2,5868,9
PAB,2,5874,4
PAB,2,5880,2
PAB,2,5886,6
PAB,2,5892,6
PAB,2,5898,2
PAB,2,5904,3
PAB,2,5910,6
PAB,2,5916,6
PAB,2,5922,2
PAB,2,5928,2
PAB,2,5934,2
PAB,2,5940,1
PAB,2,5952,4
PAB,2,5958,14
PAB,2,5964,2
PAB,2,5970,4
PAB,2,5976,6
PAB,2,5982,8
PAB,2,5988,2
PAB,2,6000,4
PAB,2,6018,4
PAB,2,6024,2
PAB,2,6042,4
PAB,2,6048,3
PAB,2,6054,4
PAB,2,6060,2
PAB,2,6066,6
PAB,2,6078,2
PAB,2,6084,1
PAB,2,6090,2
PAB,2,6102,2
PAB,2,6108,2
PAB,2,6114,4
PAB,2,6132,2
PAB,2,6138,4
PAB,2,6144,1
PAB,2,6150,4
PAB,2,6156,2
PAB,2,6168,2
PAB,2,6174,4
PAB,2,6180,2
PAB,2,6186,2
PAB,2,6192,4
PAB,2,6198,2
PAB,2,6210,4
PAB,2,6228,6
PAB,2,6234,2
PAB,2,6240,4
PAB,2,6246,2
PAB,2,6264,2
PAB,2,6276,2
PAB,2,6300,4
PAB,2,6312,4
PAB,2,6336,1
PAB,2,6354,2
PAB,2,6372,2
PAB,2,6378,2
PAB,2,6402,2
PAB,2,6408,2
PAB,2,6450,2
PAB,2,6456,2
PAB,2,6462,2
PAB,2,6480,2
PAB,2,6492,2
PAB,2,6504,2
PAB,2,6600,2
PAB,2,6606,2
PAB,2,6624,2
PAB,2,6642,2
PAB,2,6660,2
PAB,2,6672,2
PAB,2,6696,2
PAB,2,6714,2
PAB,2,6726,2
PAB,2,6738,2
PAB,2,6744,2
PAB,2,6798,2
PAB,2,6816,2
PAB,2,6846,6
PAB,2,6864,2
PAB,2,6876,4
PAB,2,6912,2
PAB,2,6924,2
row_complement,1,5604,2
row_complement,1,5940,2
row_complement,1,5952,4
row_complement,1,5982,2
row_complement,1,6060,2
row_complement,1,6132,2
row_complement,1,6174,2
row_complement,1,6234,2
row_complement,1,6270,2
row_complement,1,6288,2
row_complement,1,6366,2
row_complement,1,6414,2
row_complement,1,6432,2
row_complement,1,6462,2
row_complement,1,6480,2
row_complement,1,6564,2
row_complement,1,6582,2
row_complement,1,6630,2
row_complement,1,6648,2
row_complement,1,7302,2
row_complement,2,4524,2
row_complement,2,4542,2
row_complement,2,4548,2
row_complement,2,4584,2
row_complement,2,4656,2
row_complement,2,4698,2
row_complement,2,4818,2
row_complement,2,4836,2
row_complement,2,4860,3
row_complement,2,4878,2
row_complement,2,4890,4
row_complement,2,4896,2
row_complement,2,4920,3
row_complement,2,4926,2
row_complement,2,4938,2
row_complement,2,4950,2
row_complement,2,4956,4
row_complement,2,4968,1
row_complement,2,4992,2
row_complement,2,4998,2
row_complement,2,5004,2
row_complement,2,5016,4
row_complement,2,5040,2
row_complement,2,5046,4
row_complement,2,5052,2
row_complement,2,5058,2
row_complement,2,5064,3
row_complement,2,5076,7
row_complement,2,5088,2
row_complement,2,5106,2
