center,radius,kind,x21,Assoc,H_tot,I_tot,B_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max
PAB,1,min,111111211222222222000,252,5604,8202,2598,5616,12,6,-2,16
PAB,1,max,111111111222222222100,195,7302,9150,1848,7308,6,3,-2,18
PAB,2,min,111111212222222222000,291,4524,7680,3156,4656,132,33,-4,16
PAB,2,max,111112111222222222100,198,6924,9588,2664,6936,12,3,-4,18
row_complement,1,min,222221222111111111000,252,5604,8202,2598,5616,12,6,-2,16
row_complement,1,max,222222222111111111100,195,7302,9150,1848,7308,6,3,-2,18
row_complement,2,min,222121222111111111000,291,4524,7680,3156,4656,132,33,-4,16
row_complement,2,max,222222122111111111200,198,6924,9588,2664,6936,12,3,-4,18
affine_Hmin_assoc81_representative,1,min,101222000111222000012,117,-1398,9138,10536,1590,2988,303,-14,16
affine_Hmin_assoc81_representative,1,max,111222000111222000212,93,-954,10062,11016,1242,2196,186,-14,16
affine_Hmin_assoc81_representative,2,min,101222010111222000012,132,-1458,9288,10746,1440,2898,312,-14,16
affine_Hmin_assoc81_representative,2,max,111222000111222000202,93,384,10992,10608,1590,1206,120,-14,18
affine_Hmin_assoc189_representative,1,min,012120101012120201012,183,-1830,7662,9492,1506,3336,429,-14,16
affine_Hmin_assoc189_representative,1,max,012100201012120201012,231,-624,8070,8694,2262,2886,399,-14,18
affine_Hmin_assoc189_representative,2,min,212120101012120201012,186,-1560,7830,9390,1662,3222,432,-14,16
affine_Hmin_assoc189_representative,2,max,012100201012122201012,255,468,8340,7872,2652,2184,360,-12,18
degree2_Hmax_representative,1,min,000000000110111111220,228,5688,8328,2640,5700,12,3,-4,18
degree2_Hmax_representative,1,max,000000000111111111221,195,7302,9150,1848,7308,6,3,-2,18
degree2_Hmax_representative,2,min,000000000010111111220,270,4554,7776,3222,4770,216,48,-6,18
degree2_Hmax_representative,2,max,000000000111011111221,198,6924,9588,2664,6936,12,3,-4,18
global_Assoc_min_representative,1,min,010210210001021001100,78,288,5688,5400,1638,1350,369,-8,18
global_Assoc_min_representative,1,max,210210210001021001200,66,2934,6636,3702,3132,198,93,-4,18
global_Assoc_min_representative,2,min,010210010001021001100,81,-6,5538,5544,1578,1584,378,-6,18
global_Assoc_min_representative,2,max,211211210001021001100,162,3870,7902,4032,4092,222,87,-6,18
global_Assoc_max_representative,1,min,110001111011100011111,534,1830,3744,1914,2586,756,66,-14,14
global_Assoc_max_representative,1,max,110000110011100011111,489,3420,5496,2076,4116,696,69,-12,16
global_Assoc_max_representative,2,min,110001111011100111111,477,1296,4584,3288,2904,1608,156,-16,16
global_Assoc_max_representative,2,max,110000110011000011111,393,4464,7728,3264,5520,1056,132,-8,16
