center_mode,radius,coordinate_type,incidences,unique_neighbors,min_assoc,max_assoc,mean_assoc,neighbor_mode_hist,assoc_hist
min,1,all,1008,996,63,150,95.25,"{""min"": 24, ""non_extremal"": 984}","{""102"": 12, ""108"": 12, ""111"": 48, ""114"": 48, ""117"": 48, ""120"": 60, ""123"": 24, ""126"": 12, ""129"": 12, ""132"": 36, ""138"": 12, ""150"": 12, ""63"": 24, ""66"": 24, ""69"": 24, ""72"": 24, ""75"": 36, ""78"": 108, ""81"": 48, ""84"": 96, ""87"": 144, ""90"": 36, ""93"": 36, ""96"": 48, ""99"": 24}"
min,1,A,432,432,66,132,95.375,"{""non_extremal"": 432}","{""102"": 6, ""108"": 6, ""111"": 24, ""114"": 24, ""117"": 24, ""120"": 18, ""123"": 12, ""126"": 6, ""129"": 6, ""132"": 18, ""66"": 6, ""69"": 12, ""72"": 6, ""75"": 18, ""78"": 48, ""81"": 18, ""84"": 42, ""87"": 72, ""90"": 18, ""93"": 18, ""96"": 24, ""99"": 6}"
min,1,B,432,432,66,132,95.375,"{""non_extremal"": 432}","{""102"": 6, ""108"": 6, ""111"": 24, ""114"": 24, ""117"": 24, ""120"": 18, ""123"": 12, ""126"": 6, ""129"": 6, ""132"": 18, ""66"": 6, ""69"": 12, ""72"": 6, ""75"": 18, ""78"": 48, ""81"": 18, ""84"": 42, ""87"": 72, ""90"": 18, ""93"": 18, ""96"": 24, ""99"": 6}"
min,1,d,144,132,63,150,94.5,"{""min"": 24, ""non_extremal"": 120}","{""120"": 24, ""138"": 12, ""150"": 12, ""63"": 24, ""66"": 12, ""72"": 12, ""78"": 12, ""81"": 12, ""84"": 12, ""99"": 12}"
min,2,all_exact_radius_2,20160,not_deduplicated,66,219,123.52321428571429,"{""non_extremal"": 20160}","{""102"": 1032, ""105"": 816, ""108"": 936, ""111"": 816, ""114"": 684, ""117"": 696, ""120"": 792, ""123"": 672, ""126"": 900, ""129"": 720, ""132"": 1008, ""135"": 876, ""138"": 792, ""141"": 840, ""144"": 672, ""147"": 600, ""150"": 588, ""153"": 312, ""156"": 468, ""159"": 276, ""162"": 384, ""165"": 228, ""168"": 228, ""171"": 240, ""174"": 204, ""177"": 60, ""180"": 72, ""183"": 60, ""186"": 72, ""189"": 36, ""198"": 24, ""204"": 24, ""210"": 24, ""219"": 12, ""66"": 36, ""69"": 72, ""72"": 48, ""75"": 72, ""78"": 156, ""81"": 192, ""84"": 300, ""87"": 660, ""90"": 444, ""93"": 540, ""96"": 732, ""99"": 744}"
max,1,all,252,252,486,579,525.2857142857143,"{""non_extremal"": 252}","{""486"": 12, ""489"": 12, ""495"": 6, ""501"": 6, ""507"": 12, ""510"": 24, ""513"": 42, ""516"": 12, ""519"": 6, ""525"": 12, ""531"": 12, ""534"": 12, ""540"": 12, ""543"": 24, ""549"": 12, ""555"": 12, ""561"": 12, ""579"": 12}"
max,1,A,108,108,486,579,526.3333333333334,"{""non_extremal"": 108}","{""486"": 6, ""489"": 6, ""507"": 6, ""510"": 12, ""513"": 18, ""516"": 6, ""525"": 6, ""531"": 6, ""534"": 6, ""540"": 6, ""543"": 6, ""549"": 6, ""555"": 6, ""561"": 6, ""579"": 6}"
max,1,B,108,108,486,579,526.3333333333334,"{""non_extremal"": 108}","{""486"": 6, ""489"": 6, ""507"": 6, ""510"": 12, ""513"": 18, ""516"": 6, ""525"": 6, ""531"": 6, ""534"": 6, ""540"": 6, ""543"": 6, ""549"": 6, ""555"": 6, ""561"": 6, ""579"": 6}"
max,1,d,36,36,495,543,519,"{""non_extremal"": 36}","{""495"": 6, ""501"": 6, ""513"": 6, ""519"": 6, ""543"": 12}"
max,2,all_exact_radius_2,5040,not_deduplicated,393,567,464.49285714285713,"{""non_extremal"": 5040}","{""393"": 24, ""399"": 12, ""402"": 24, ""405"": 24, ""408"": 24, ""411"": 24, ""414"": 96, ""417"": 60, ""420"": 72, ""423"": 72, ""426"": 96, ""429"": 102, ""432"": 96, ""435"": 150, ""438"": 132, ""441"": 186, ""444"": 180, ""447"": 156, ""450"": 108, ""453"": 300, ""456"": 204, ""459"": 198, ""462"": 228, ""465"": 252, ""468"": 120, ""471"": 246, ""474"": 192, ""477"": 168, ""480"": 204, ""483"": 138, ""486"": 96, ""489"": 84, ""492"": 120, ""495"": 138, ""498"": 132, ""501"": 90, ""504"": 72, ""507"": 60, ""510"": 60, ""516"": 24, ""519"": 12, ""522"": 12, ""525"": 48, ""528"": 36, ""531"": 66, ""534"": 24, ""537"": 24, ""549"": 48, ""567"": 6}"
