term_set,points,block,terms,always_terms,never_terms,variable_terms,mean_satisfied_per_point
min_all,24,RRR,27,9,12,6,10.0
min_all,24,RRS,54,0,30,24,2.0
min_all,24,RSR,54,0,30,24,2.0
min_all,24,RSS,54,0,18,36,3.0
min_all,24,RST,54,0,18,36,4.0
min_permutation,12,RRR,27,9,18,0,9.0
min_permutation,12,RRS,54,0,30,24,2.0
min_permutation,12,RSR,54,0,30,24,2.0
min_permutation,12,RSS,54,0,18,36,4.0
min_permutation,12,RST,54,0,18,36,4.0
min_two_valued_no_fixed,12,RRR,27,9,12,6,11.0
min_two_valued_no_fixed,12,RRS,54,0,30,24,2.0
min_two_valued_no_fixed,12,RSR,54,0,30,24,2.0
min_two_valued_no_fixed,12,RSS,54,0,30,24,2.0
min_two_valued_no_fixed,12,RST,54,0,18,36,4.0
max_all,6,RRR,27,15,0,12,19.0
max_all,6,RRS,54,12,0,42,36.0
max_all,6,RSR,54,12,0,42,36.0
max_all,6,RSS,54,54,0,0,54.0
max_all,6,RST,54,54,0,0,54.0
