a,b,label,d,Assoc
1,2,g1=r2 / PAB,021,189
2,1,row-complement,021,189
1,2,g1=r2 / PAB,001,201
1,2,g1=r2 / PAB,020,201
2,1,row-complement,001,201
2,1,row-complement,020,201
1,2,g1=r2 / PAB,000,219
2,1,row-complement,000,219
0,1,,021,243
0,2,,021,243
1,0,,021,243
2,0,,021,243
0,1,,001,255
0,1,,002,255
0,1,,020,255
0,1,,022,255
0,2,,001,255
0,2,,010,255
0,2,,011,255
0,2,,020,255
1,0,,001,255
1,0,,002,255
1,0,,020,255
1,0,,022,255
1,2,g1=r2 / PAB,002,255
1,2,g1=r2 / PAB,010,255
1,2,g1=r2 / PAB,011,255
1,2,g1=r2 / PAB,022,255
2,0,,001,255
2,0,,010,255
2,0,,011,255
2,0,,020,255
2,1,row-complement,002,255
2,1,row-complement,010,255
2,1,row-complement,011,255
2,1,row-complement,022,255
0,1,,000,273
0,2,,000,273
1,0,,000,273
2,0,,000,273
0,1,,012,297
0,2,,012,297
1,0,,012,297
1,2,g1=r2 / PAB,012,297
2,0,,012,297
2,1,row-complement,012,297
0,1,,010,309
0,1,,011,309
0,2,,002,309
0,2,,022,309
1,0,,010,309
1,0,,011,309
2,0,,002,309
2,0,,022,309
