a,b,label,d,x21,Assoc,I_tot,B_tot,H_tot,H_pos,H_neg_abs,N_neg,h_loc_min,h_loc_max,pure,above_PAB_7020,ge_PAB_7020,is_PAB,is_row_complement_d000,pure_H_frontier
0,0,g5=r1,000,000000000000000000000,489,3180,1344,1836,2268,432,108,-4,16,False,False,False,False,False,False
0,0,g5=r1,001,000000000000000000001,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
0,0,g5=r1,002,000000000000000000002,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
0,0,g5=r1,010,000000000000000000010,471,3402,1512,1890,2214,324,108,-4,18,False,False,False,False,False,False
0,0,g5=r1,011,000000000000000000011,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
0,0,g5=r1,012,000000000000000000012,459,3564,1620,1944,2160,216,108,-2,18,False,False,False,False,False,False
0,0,g5=r1,020,000000000000000000020,471,3540,1284,2256,2472,216,108,-2,18,False,False,False,False,False,False
0,0,g5=r1,021,000000000000000000021,459,3840,1140,2700,2700,0,0,0,18,True,False,False,False,False,False
0,0,g5=r1,022,000000000000000000022,471,3618,1296,2322,2430,108,54,-2,18,False,False,False,False,False,False
0,0,g5=r1,100,000000000000000000100,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
0,0,g5=r1,101,000000000000000000101,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,102,000000000000000000102,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,110,000000000000000000110,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
0,0,g5=r1,111,000000000000000000111,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
0,0,g5=r1,112,000000000000000000112,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
0,0,g5=r1,120,000000000000000000120,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,121,000000000000000000121,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,122,000000000000000000122,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,200,000000000000000000200,357,6234,1956,4278,4302,24,12,-2,18,False,False,False,False,False,False
0,0,g5=r1,201,000000000000000000201,351,6444,1512,4932,4938,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,202,000000000000000000202,363,6240,1932,4308,4320,12,6,-2,18,False,False,False,False,False,False
0,0,g5=r1,210,000000000000000000210,351,6324,2004,4320,4344,24,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,211,000000000000000000211,363,6456,1500,4956,4986,30,9,-4,18,False,False,False,False,False,False
0,0,g5=r1,212,000000000000000000212,363,6318,1944,4374,4398,24,6,-4,18,False,False,False,False,False,False
0,0,g5=r1,220,000000000000000000220,357,6450,1740,4710,4716,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,221,000000000000000000221,357,6666,1308,5358,5364,6,3,-2,18,False,False,False,False,False,False
0,0,g5=r1,222,000000000000000000222,381,6312,1560,4752,4752,0,0,0,16,True,False,False,False,False,False
0,1,,000,000000000111111111000,273,7824,2424,5400,5400,0,0,0,16,True,False,False,False,False,False
0,1,,001,000000000111111111001,255,7968,2580,5388,5388,0,0,0,18,True,False,False,False,False,False
0,1,,002,000000000111111111002,255,7938,2700,5238,5238,0,0,0,18,True,False,False,False,False,False
0,1,,010,000000000111111111010,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
0,1,,011,000000000111111111011,309,7398,2376,5022,5022,0,0,0,18,True,False,False,False,False,False
0,1,,012,000000000111111111012,297,7452,2592,4860,4860,0,0,0,18,True,False,False,False,False,False
0,1,,020,000000000111111111020,255,8238,2040,6198,6198,0,0,0,18,True,False,False,False,False,False
0,1,,021,000000000111111111021,243,8322,2220,6102,6102,0,0,0,18,True,False,False,False,False,False
0,1,,022,000000000111111111022,255,8208,2268,5940,5940,0,0,0,18,True,False,False,False,False,False
0,1,,100,000000000111111111100,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
0,1,,101,000000000111111111101,195,8610,2820,5790,5790,0,0,0,18,True,False,False,False,False,False
0,1,,102,000000000111111111102,189,8592,2976,5616,5616,0,0,0,18,True,False,False,False,False,False
