type_id,normalized_type,K0,K1,K2,G0,G1,G2,Q0=L00L00,Q1=L01L01,Q2=L02L01
0,000|000|000,1,0,0,0,0,0,0,0,0
1,011|000|000,0,0,0,0,0,0,0,0,1
2,011|111|111,0,1/2,-1/2,1/2,1/2,-1/2,1/2,0,0
3,012|222|111,0,0,0,0,0,0,1,0,0
4,021|111|222,0,0,0,1,0,0,0,0,0
5,022|000|000,0,0,0,0,0,0,0,1,0
6,022|222|222,0,-1/2,1/2,1/2,-1/2,1/2,1/2,0,0
7,100|000|000,1,1/2,1/2,-1/2,-1/2,1/2,-1/2,0,0
8,100|111|111,1,1,0,0,0,0,0,0,-1
9,100|111|222,0,0,0,0,0,1,0,0,0
10,100|222|111,2,1,1,0,-1,0,0,-1,-1
11,111|111|111,0,1,0,0,0,0,0,0,0
12,200|000|000,1,1/2,1/2,-1/2,1/2,-1/2,-1/2,0,0
13,200|111|222,0,0,0,0,1,0,0,0,0
14,200|222|111,2,1,1,0,0,-1,0,-1,-1
15,200|222|222,1,0,1,0,0,0,0,-1,0
16,222|222|222,0,0,1,0,0,0,0,0,0
