type_id,kind,same_row_function,same_row_name,cross_plus_function,cross_plus_value,cross_minus_function,cross_minus_value,normalized_type,prefix_last_descriptions,min_word_length_row0,representative_word_row0
0,constant,000,K0,000,0,000,0,000|000|000,K0,3,L01 L00 L10
1,nonconstant,011,P01,000,0,000,0,011|000|000,"P10=beta2;beta_1;g(1)=0,g(2)=0 || P10=beta2;beta_2;g(1)=0,g(2)=0",2,L02 L01
2,nonconstant,011,P01,111,1,111,1,011|111|111,"P01;beta_0;g(1)=1,g(2)=1",3,L02 L01 L00
3,nonconstant,012,I,222,2,111,1,012|222|111,"S=beta0;beta_0;g(1)=2,g(2)=1",2,L00 L00
4,nonconstant,021,S=beta0,111,1,222,2,021|111|222,"I;beta_0;g(1)=1,g(2)=2",1,L00
5,nonconstant,022,P02,000,0,000,0,022|000|000,"P20=beta1;beta_1;g(1)=0,g(2)=0 || P20=beta1;beta_2;g(1)=0,g(2)=0",2,L01 L01
6,nonconstant,022,P02,222,2,222,2,022|222|222,"P02;beta_0;g(1)=2,g(2)=2",3,L01 L01 L00
7,nonconstant,100,P10=beta2,000,0,000,0,100|000|000,"P10=beta2;beta_0;g(1)=0,g(2)=0",2,L02 L00
8,nonconstant,100,P10=beta2,111,1,111,1,100|111|111,"P01;beta_1;g(1)=1,g(2)=1 || P01;beta_2;g(1)=1,g(2)=1",3,L02 L01 L01
9,nonconstant,100,P10=beta2,111,1,222,2,100|111|222,"I;beta_2;g(1)=1,g(2)=2",1,L02
10,nonconstant,100,P10=beta2,222,2,111,1,100|222|111,"S=beta0;beta_1;g(1)=2,g(2)=1",2,L00 L01
11,constant,111,K1,111,1,111,1,111|111|111,K1,2,L00 L10
12,nonconstant,200,P20=beta1,000,0,000,0,200|000|000,"P20=beta1;beta_0;g(1)=0,g(2)=0",2,L01 L00
13,nonconstant,200,P20=beta1,111,1,222,2,200|111|222,"I;beta_1;g(1)=1,g(2)=2",1,L01
14,nonconstant,200,P20=beta1,222,2,111,1,200|222|111,"S=beta0;beta_2;g(1)=2,g(2)=1",2,L00 L02
15,nonconstant,200,P20=beta1,222,2,222,2,200|222|222,"P02;beta_1;g(1)=2,g(2)=2 || P02;beta_2;g(1)=2,g(2)=2",3,L01 L01 L01
16,constant,222,K2,222,2,222,2,222|222|222,K2,2,L00 L20
