target_row,class,triple,active_source_phi,off_source_constants,generating_pairs_U_a,pair_multiplicity,image_size,minimal_word_found
0,global_constant,000|000|000,000,F1->K0;F2->K0,,,1,"(L(0, 1)∘(L(0, 0)))∘L(1, 0)"
0,row_stay,011|000|000,011,F1->K0;F2->K0,"U=100,a=1;U=100,a=2",2,2,"L(0, 2)∘(L(0, 1))"
0,row_stay,011|111|111,011,F1->K1;F2->K1,"U=011,a=0",1,2,"L(0, 2)∘(L(0, 1)∘(L(0, 0)))"
0,row_stay,012|222|111,012,F1->K2;F2->K1,"U=021,a=0",1,3,"L(0, 0)∘(L(0, 0))"
0,row_stay,021|111|222,021,F1->K1;F2->K2,"U=012,a=0",1,3,"L(0, 0)"
0,row_stay,022|000|000,022,F1->K0;F2->K0,"U=200,a=1;U=200,a=2",2,2,"L(0, 1)∘(L(0, 1))"
0,row_stay,022|222|222,022,F1->K2;F2->K2,"U=022,a=0",1,2,"L(0, 1)∘(L(0, 1)∘(L(0, 0)))"
0,row_stay,100|000|000,100,F1->K0;F2->K0,"U=100,a=0",1,2,"L(0, 2)∘(L(0, 0))"
0,row_stay,100|111|111,100,F1->K1;F2->K1,"U=011,a=1;U=011,a=2",2,2,"L(0, 2)∘(L(0, 1)∘(L(0, 1)))"
0,row_stay,100|111|222,100,F1->K1;F2->K2,"U=012,a=2",1,3,"L(0, 2)"
0,row_stay,100|222|111,100,F1->K2;F2->K1,"U=021,a=1",1,3,"(L(0, 0))∘L(0, 1)"
0,global_constant,111|111|111,111,F1->K1;F2->K1,,,1,"(L(0, 0))∘L(1, 0)"
0,row_stay,200|000|000,200,F1->K0;F2->K0,"U=200,a=0",1,2,"L(0, 1)∘(L(0, 0))"
0,row_stay,200|111|222,200,F1->K1;F2->K2,"U=012,a=1",1,3,"L(0, 1)"
0,row_stay,200|222|111,200,F1->K2;F2->K1,"U=021,a=2",1,3,"(L(0, 0))∘L(0, 2)"
0,row_stay,200|222|222,200,F1->K2;F2->K2,"U=022,a=1;U=022,a=2",2,2,"L(0, 1)∘(L(0, 1)∘(L(0, 1)))"
0,global_constant,222|222|222,222,F1->K2;F2->K2,,,1,"(L(0, 0))∘L(2, 0)"
1,global_constant,000|000|000,000,F0->K0;F2->K0,,,1,"L(1, 0)∘(L(0, 0))"
1,row_stay,000|010|000,010,F0->K0;F2->K0,"U=010,a=1",1,2,"L(1, 2)∘((L(1, 0))∘L(1, 1))"
1,row_stay,000|101|000,101,F0->K0;F2->K0,"U=010,a=0;U=010,a=2",2,2,"L(1, 2)∘(L(1, 0)∘(L(1, 0)))"
1,row_stay,000|101|222,101,F0->K0;F2->K2,"U=012,a=2",1,3,"L(1, 2)"
1,row_stay,000|121|222,121,F0->K0;F2->K2,"U=012,a=0",1,3,"L(1, 0)"
1,row_stay,000|210|222,210,F0->K0;F2->K2,"U=012,a=1",1,3,"L(1, 1)"
1,row_stay,111|010|111,010,F0->K1;F2->K1,"U=101,a=0;U=101,a=2",2,2,"L(1, 2)∘(L(1, 0))"
1,row_stay,111|101|111,101,F0->K1;F2->K1,"U=101,a=1",1,2,"L(1, 2)∘(L(1, 1))"
1,global_constant,111|111|111,111,F0->K1;F2->K1,,,1,"L(1, 0)∘(L(1, 0)∘(L(0, 0)))"
1,row_stay,111|121|111,121,F0->K1;F2->K1,"U=121,a=1",1,2,"(L(1, 0))∘L(1, 1)"
1,row_stay,111|212|111,212,F0->K1;F2->K1,"U=121,a=0;U=121,a=2",2,2,"L(1, 0)∘(L(1, 0))"
1,row_stay,222|012|000,012,F0->K2;F2->K0,"U=210,a=1",1,3,"L(1, 1)∘(L(1, 1))"
1,row_stay,222|101|000,101,F0->K2;F2->K0,"U=210,a=0",1,3,"L(1, 1)∘(L(1, 0))"
1,row_stay,222|121|000,121,F0->K2;F2->K0,"U=210,a=2",1,3,"(L(1, 1))∘L(1, 2)"
1,row_stay,222|121|222,121,F0->K2;F2->K2,"U=212,a=0;U=212,a=2",2,2,"L(1, 0)∘(L(1, 0)∘(L(1, 0)))"
1,row_stay,222|212|222,212,F0->K2;F2->K2,"U=212,a=1",1,2,"(L(1, 0)∘(L(1, 0)))∘L(1, 1)"
1,global_constant,222|222|222,222,F0->K2;F2->K2,,,1,"(L(1, 0))∘L(2, 0)"
2,global_constant,000|000|000,000,F0->K0;F1->K0,,,1,"L(2, 0)∘(L(0, 0))"
2,row_stay,000|000|002,002,F0->K0;F1->K0,"U=002,a=2",1,2,"(L(2, 1)∘(L(2, 0)))∘L(2, 2)"
2,row_stay,000|000|220,220,F0->K0;F1->K0,"U=002,a=0;U=002,a=1",2,2,"L(2, 1)∘(L(2, 0)∘(L(2, 0)))"
2,row_stay,000|111|102,102,F0->K0;F1->K1,"U=012,a=2",1,3,"L(2, 2)"
2,row_stay,000|111|220,220,F0->K0;F1->K1,"U=012,a=1",1,3,"L(2, 1)"
2,row_stay,000|111|221,221,F0->K0;F1->K1,"U=012,a=0",1,3,"L(2, 0)"
2,row_stay,111|000|012,012,F0->K1;F1->K0,"U=102,a=2",1,3,"L(2, 2)∘(L(2, 2))"
2,row_stay,111|000|220,220,F0->K1;F1->K0,"U=102,a=0",1,3,"L(2, 2)∘(L(2, 0))"
2,row_stay,111|000|221,221,F0->K1;F1->K0,"U=102,a=1",1,3,"L(2, 2)∘(L(2, 1))"
2,global_constant,111|111|111,111,F0->K1;F1->K1,,,1,"L(2, 0)∘(L(1, 0))"
2,row_stay,111|111|112,112,F0->K1;F1->K1,"U=112,a=2",1,2,"(L(2, 0)∘(L(2, 0)))∘L(2, 2)"
2,row_stay,111|111|221,221,F0->K1;F1->K1,"U=112,a=0;U=112,a=1",2,2,"L(2, 0)∘(L(2, 0)∘(L(2, 0)))"
