input_type_id,input_type,right_generator_target_offset,right_generator_beta,formula,output_type_id,output_type
0,000|000|000,0,0,"(f∘beta_t, kappa_f(1), kappa_f(2))",0,000|000|000
0,000|000|000,0,1,"(f∘beta_t, kappa_f(1), kappa_f(2))",0,000|000|000
0,000|000|000,0,2,"(f∘beta_t, kappa_f(1), kappa_f(2))",0,000|000|000
0,000|000|000,1,0,constant collapse to K0,0,000|000|000
0,000|000|000,1,1,constant collapse to K0,0,000|000|000
0,000|000|000,1,2,constant collapse to K0,0,000|000|000
0,000|000|000,2,0,constant collapse to K0,0,000|000|000
0,000|000|000,2,1,constant collapse to K0,0,000|000|000
0,000|000|000,2,2,constant collapse to K0,0,000|000|000
1,011|000|000,0,0,"(f∘beta_t, kappa_f(1), kappa_f(2))",2,011|111|111
1,011|000|000,0,1,"(f∘beta_t, kappa_f(1), kappa_f(2))",8,100|111|111
1,011|000|000,0,2,"(f∘beta_t, kappa_f(1), kappa_f(2))",8,100|111|111
1,011|000|000,1,0,constant collapse to K0,0,000|000|000
1,011|000|000,1,1,constant collapse to K0,0,000|000|000
1,011|000|000,1,2,constant collapse to K0,0,000|000|000
1,011|000|000,2,0,constant collapse to K0,0,000|000|000
1,011|000|000,2,1,constant collapse to K0,0,000|000|000
1,011|000|000,2,2,constant collapse to K0,0,000|000|000
2,011|111|111,0,0,"(f∘beta_t, kappa_f(1), kappa_f(2))",2,011|111|111
2,011|111|111,0,1,"(f∘beta_t, kappa_f(1), kappa_f(2))",8,100|111|111
2,011|111|111,0,2,"(f∘beta_t, kappa_f(1), kappa_f(2))",8,100|111|111
2,011|111|111,1,0,constant collapse to K1,11,111|111|111
2,011|111|111,1,1,constant collapse to K1,11,111|111|111
2,011|111|111,1,2,constant collapse to K1,11,111|111|111
2,011|111|111,2,0,constant collapse to K1,11,111|111|111
2,011|111|111,2,1,constant collapse to K1,11,111|111|111
2,011|111|111,2,2,constant collapse to K1,11,111|111|111
3,012|222|111,0,0,"(f∘beta_t, kappa_f(1), kappa_f(2))",4,021|111|222
3,012|222|111,0,1,"(f∘beta_t, kappa_f(1), kappa_f(2))",13,200|111|222
3,012|222|111,0,2,"(f∘beta_t, kappa_f(1), kappa_f(2))",9,100|111|222
3,012|222|111,1,0,constant collapse to K2,16,222|222|222
3,012|222|111,1,1,constant collapse to K2,16,222|222|222
3,012|222|111,1,2,constant collapse to K2,16,222|222|222
3,012|222|111,2,0,constant collapse to K1,11,111|111|111
3,012|222|111,2,1,constant collapse to K1,11,111|111|111
3,012|222|111,2,2,constant collapse to K1,11,111|111|111
