id,minimal_size,representative,function_signature_base9_on_M2,sha256_signature
0,1,x,000000000111111111222222222333333333444444444555555555666666666777777777888888888,152b2521c548f2311140a9fa37ebf89cbe15306077b7fa90afe84863c7e1dbea
1,1,y,012345678012345678012345678012345678012345678012345678012345678012345678012345678,fc22f73dbec6faa53fe0be5a0cfa1a1476776b35d6704628bc3b04fd130b0e72
2,2,(x*x),000000000000000000000000000444444444444444444444444444888888888888888888888888888,ac0c60e9d6cdc80b4b7c4945c6fce39e8bbae2103cd39e5a00263d7e12f9e77b
3,2,(x*y),021111222200111222100111222333454555333543555333434555666777887666777886666777768,e761fa7e110028816e3210b945072af3d413ddc619bf1415010c2725edc89efe
4,2,(y*x),021333666200333666100333666111454777111543777111434777222555887222555886222555768,1e656dc4ac9d7f2c5706bf9d315cc8399e25d7aaffc2d5a9d252459a04748486
5,2,(y*y),000444888000444888000444888000444888000444888000444888000444888000444888000444888,7ad2fe629e960a635540f99ed95a4553c2bcad29dad9a47d766435cf336f6e0d
6,3,((x*x)*x),000000000222222222111111111555555555444444444333333333777777777666666666888888888,ee5e3bb2fd4f550758db769b6814edd64d5d27104f42faee4d11ff1c4410fb5e
7,3,((x*y)*x),012222111022000000011000000444545444555345333444343444888888778888888668777666678,3e46e55d308699c3a90b2acb4e837f53bc86b1b716e85eb1ec3fc08ea46b17fb
8,3,(x*(y*x)),012111222022111222011111222333545555333345555333343555666777778666777668666777678,5d80e37dd56b860299205b8609d697cef5d59739e9948a3dee2232f15e7a5430
9,3,(x*(y*y)),000111222222111222111111222333555555333444555333333555666777777666777666666777888,2900055d9b4db7336c1f5d44f3c6659a8a892010684d077f591468e0d94d5bfc
10,3,(y*(x*x)),021333666021333666021333666111543777111543777111543777222555768222555768222555768,50c7675c78f66edcbf448abca73f1302b42ba268e3d8d2c1092a2c3e7d89d67a
11,3,(y*(x*y)),000333666121333666221333666111533777111444777111553777222555766222555767222555888,c39016b2ca8ce0c63c6b9e930f8a9d9cd9bdb59abc5a9a70a202e628447eae87
12,3,((y*x)*y),000454887121454887221454887200533886200444886200553886100434766100434767100434888,d8a5b75a09427c25c56743c3431f7f606ffd8eda4e7b932217910620b79d7f1d
13,3,((y*y)*y),021543768021543768021543768021543768021543768021543768021543768021543768021543768,430b536ba5ccf5d0654da86dc36230cb34540fdef87fa74df82fc958cac6ee0b
14,3,((x*x)*y),021111222021111222021111222333543555333543555333543555666777768666777768666777768,bef3c325fe467178448581c74727bea76ea7f6a2a4b61af74dea5d64fc40e1fa
15,4,((x*x)*(x*y)),012222111100222111200222111555434333555345333555454333777666886777666887777666678,708119f80f4737ed42b8bbfe57a14426e8de28e0964f122329f2dad358314469
16,4,((x*x)*(y*x)),012111222100111222200111222333434555333345555333454555666777886666777887666777678,0ccebec395e8c78f1361286ab96f9c6af8b36f64db6178b81a0c1f409c3e2610
17,4,(((x*x)*y)*y),000111222000111222000111222333444555333444555333444555666777888666777888666777888,0c18d3dd3dddc71cc72a9603fcd7927f08b8f930b7d16f5600f179eb25a06415
18,3,((x*y)*y),000111222121111222221111222333533555333444555333553555666777766666777767666777888,1df45a9e97e202282167d0e93856d09b732283755039ca0c0e6987b2af056031
19,3,((y*x)*x),012333666022333666011333666111545777111345777111343777222555778222555668222555678,033fa1334c3ce140762ef8f29180b6724248d5cb5111ca3efdf32a602368abcf
20,4,((y*x)*(x*x)),012333666100333666200333666111434777111345777111454777222555886222555887222555678,0a4a5ca3d7ae1fbe19004e31800160636e380d1f7d78080b25b873ae1204b7f9
21,4,(((y*x)*y)*x),000333666000333666000333666111444777111444777111444777222555888222555888222555888,5f38557c824cc44d4ffa5be3ab5971ec4eb44cbefdd37ba64e018491d87d6cc5
22,4,((y*x)*(y*y)),012555777100555777200555777222434666222345666222454666111333886111333887111333678,e55883f9175a4e8eb68cacdbeee6d4d404a168c7b2fc58841e26103da1172e15
23,3,((y*y)*x),000333666222333666111333666111555777111444777111333777222555777222555666222555888,98ecf3bb69fa445f3fcaa646200d3af466fdfbd170bf0234e18b7580316075ee
24,4,(((x*y)*x)*x),021111222200222222100111111555454555333543555333434333777777887666666886666777768,ca2dd416f13b984b1dee8f6836557fe8307bfe5faebbadc8e7e881d37c881ec5
25,4,((x*(y*x))*x),021222111200000000100000000444454444555543333444434444888888887888888886777666768,5cc1e84ec4252ccaf0b3d5903ba98eed2b1ac0ca2140f53c903dad48e735d2ff
26,4,(((x*y)*y)*x),000222111000000000000000000444444444555444333444444444888888888888888888777666888,9f19c48278d42e253c7b39f34f54f9610b854b782a765b25c0b0abea0d4e8ea9
27,4,(x*((y*y)*y)),012111222200111222100111222333454555333345555333434555666777887666777886666777678,694f93f1815ec71d5bcd129068b0fd41820647d198f7cda39ba6993564141cd0
