id,owner,S_id,U_id,same_row_map,unary_map_u012,minimal_size,representative
0,x,1,2,000111222,012,1,x
1,y,1,2,000111222,012,1,y
2,x,0,0,000000000,000,2,(x*x)
3,x,20,6,021200100,111,2,(x*y)
4,y,20,6,021200100,111,2,(y*x)
5,y,0,0,000000000,000,2,(y*y)
6,x,8,3,000222111,021,3,((x*x)*x)
7,x,12,10,012022011,200,3,((x*y)*x)
8,x,12,6,012022011,111,3,(x*(y*x))
9,x,8,6,000222111,111,3,(x*(y*y))
10,y,8,6,000222111,111,3,(y*(x*x))
11,y,12,6,012022011,111,3,(y*(x*y))
12,y,12,10,012022011,200,3,((y*x)*y)
13,y,8,3,000222111,021,3,((y*y)*y)
14,x,17,6,021021021,111,3,((x*x)*y)
15,x,13,14,012100200,222,4,((x*x)*(x*y))
16,x,13,6,012100200,111,4,((x*x)*(y*x))
17,x,0,6,000000000,111,4,(((x*x)*y)*y)
18,x,3,6,000121221,111,3,((x*y)*y)
19,y,3,6,000121221,111,3,((y*x)*x)
20,y,13,6,012100200,111,4,((y*x)*(x*x))
21,y,0,6,000000000,111,4,(((y*x)*y)*x)
22,y,13,14,012100200,222,4,((y*x)*(y*y))
23,y,17,6,021021021,111,3,((y*y)*x)
24,x,20,8,021200100,121,4,(((x*y)*x)*x)
25,x,20,10,021200100,200,4,((x*(y*x))*x)
26,x,0,10,000000000,200,4,(((x*y)*y)*x)
27,x,14,6,012200100,111,4,(x*((y*y)*y))
28,x,14,10,012200100,200,4,(((x*x)*y)*x)
29,x,18,5,021022011,100,5,(((x*x)*(x*y))*x)
30,x,18,10,021022011,200,5,(((x*x)*(y*x))*x)
31,x,8,10,000222111,200,5,((((x*x)*y)*y)*x)
32,x,18,6,021022011,111,5,(x*(((y*y)*y)*x))
33,y,14,6,012200100,111,4,(y*((x*x)*x))
34,y,0,10,000000000,200,4,(((y*x)*x)*y)
35,y,20,10,021200100,200,4,((y*(x*y))*y)
36,y,20,8,021200100,121,4,(((y*x)*y)*y)
37,y,18,6,021022011,111,5,(y*(((x*x)*x)*y))
38,y,18,10,021022011,200,5,(((y*x)*(x*x))*y)
39,y,8,10,000222111,200,5,((((y*x)*y)*x)*y)
40,y,18,5,021022011,100,5,(((y*x)*(y*y))*y)
41,y,14,10,012200100,200,4,(((y*y)*x)*y)
42,x,15,5,021011022,100,5,(((x*y)*x)*(x*x))
43,x,15,14,021011022,222,5,((x*(y*x))*(x*x))
44,x,1,14,000111222,222,5,((x*(y*y))*(x*x))
45,x,10,6,012012012,111,5,(((x*x)*y)*(y*y))
46,x,6,6,000212112,111,5,(((x*y)*y)*(y*y))
47,x,10,14,012012012,222,5,(((x*x)*y)*(x*x))
48,x,20,14,021200100,222,6,(((x*x)*(y*x))*(x*x))
49,x,0,14,000000000,222,6,((((x*x)*y)*y)*(x*x))
50,x,6,14,000212112,222,5,(((x*y)*y)*(x*x))
51,x,15,6,021011022,111,5,(((x*y)*x)*(y*y))
52,x,1,6,000111222,111,5,(((x*x)*x)*(y*y))
53,x,9,10,012011022,200,5,(((x*x)*x)*(x*y))
54,x,1,4,000111222,022,5,(((x*y)*x)*(x*y))
55,x,1,0,000111222,000,5,((x*(y*x))*(x*y))
56,x,9,0,012011022,000,5,((x*(y*y))*(x*y))
57,x,2,6,000112212,111,5,(((x*x)*y)*(y*x))
58,x,2,0,000112212,000,5,(((x*x)*y)*(x*y))
59,x,13,0,012100200,000,6,((((x*x)*y)*y)*(x*y))
60,x,10,0,012012012,000,5,(((x*y)*y)*(x*y))
61,x,9,6,012011022,111,5,(((x*x)*x)*(y*x))
62,y,2,6,000112212,111,5,(((y*y)*x)*(x*y))
63,y,10,6,012012012,111,5,(((y*x)*x)*(x*y))
64,y,9,0,012011022,000,5,((y*(x*x))*(y*x))
65,y,1,0,000111222,000,5,((y*(x*y))*(y*x))
66,y,1,4,000111222,022,5,(((y*x)*y)*(y*x))
67,y,9,10,012011022,200,5,(((y*y)*y)*(y*x))
68,y,9,6,012011022,111,5,(((y*y)*y)*(x*y))
69,y,1,6,000111222,111,5,(((y*x)*y)*(x*y))
70,y,10,0,012012012,000,5,(((y*x)*x)*(y*x))
71,y,13,0,012100200,000,6,((((y*x)*y)*x)*(y*x))
72,y,2,0,000112212,000,5,(((y*y)*x)*(y*x))
73,y,6,6,000212112,111,5,(((y*x)*x)*(x*x))
74,y,1,14,000111222,222,5,((y*(x*x))*(y*y))
75,y,15,14,021011022,222,5,((y*(x*y))*(y*y))
76,y,15,5,021011022,100,5,(((y*x)*y)*(y*y))
77,y,15,6,021011022,111,5,(((y*x)*y)*(x*x))
78,y,6,14,000212112,222,5,(((y*x)*x)*(y*y))
79,y,20,14,021200100,222,6,(((y*x)*(x*x))*(y*y))
80,y,0,14,000000000,222,6,((((y*x)*y)*x)*(y*y))
81,y,10,14,012012012,222,5,(((y*y)*x)*(y*y))
82,x,19,6,021100200,111,4,(((x*x)*x)*y)
83,x,19,7,021100200,112,6,(((x*x)*x)*((x*y)*x))
84,x,19,10,021100200,200,6,(((x*x)*x)*(x*(y*x)))
85,x,13,10,012100200,200,6,(((x*x)*x)*((x*x)*y))
86,x,15,10,021011022,200,7,(((x*x)*(y*x))*((x*x)*x))
87,x,1,10,000111222,200,7,((((x*x)*y)*y)*((x*x)*x))
88,x,0,4,000000000,022,6,((((x*x)*y)*x)*(x*y))
89,x,19,4,021100200,022,6,(((x*y)*x)*(x*(y*y)))
90,x,5,1,000211122,011,7,(((x*x)*(x*y))*((x*y)*x))
91,x,5,4,000211122,022,7,((((x*x)*x)*y)*((x*y)*x))
92,x,15,4,021011022,022,7,((((x*x)*y)*x)*(x*(y*y)))
93,x,20,4,021200100,022,6,(((x*y)*x)*((x*y)*y))
94,x,5,6,000211122,111,7,((((x*x)*x)*y)*((y*x)*x))
95,x,19,0,021100200,000,6,((x*(y*x))*(x*(y*y)))
96,x,5,0,000211122,000,7,((((x*x)*x)*y)*(x*(y*x)))
97,x,15,0,021011022,000,7,((((x*x)*y)*y)*(x*(y*x)))
98,x,20,0,021200100,000,6,(((x*y)*y)*(x*(y*x)))
99,y,19,6,021100200,111,4,(((y*y)*y)*x)
100,y,19,0,021100200,000,6,((y*(x*x))*(y*(x*y)))
101,y,19,4,021100200,022,6,(((y*x)*y)*(y*(x*x)))
102,y,15,0,021011022,000,7,((((y*x)*x)*y)*((y*x)*y))
103,y,0,4,000000000,022,6,((((y*y)*x)*y)*(y*x))
104,y,19,10,021100200,200,6,(((y*y)*y)*(y*(x*y)))
105,y,5,6,000211122,111,7,((((y*y)*y)*x)*((x*y)*y))
106,y,20,0,021200100,000,6,(((y*x)*x)*(y*(x*y)))
107,y,5,0,000211122,000,7,((((y*y)*y)*x)*(y*(x*y)))
108,y,19,7,021100200,112,6,(((y*x)*y)*((y*y)*y))
109,y,20,4,021200100,022,6,(((y*x)*x)*((y*x)*y))
110,y,5,4,000211122,022,7,((((y*y)*y)*x)*((y*x)*y))
111,y,15,4,021011022,022,7,((((y*x)*x)*y)*(y*(x*y)))
112,y,5,1,000211122,011,7,(((y*x)*(y*y))*((y*x)*y))
113,y,15,10,021011022,200,7,(((y*x)*(x*x))*((y*y)*y))
114,y,1,10,000111222,200,7,((((y*x)*y)*x)*((y*y)*y))
115,y,13,10,012100200,200,6,(((y*y)*x)*((y*y)*y))
116,x,6,0,000212112,000,7,((((x*x)*x)*y)*((x*x)*y))
117,x,14,0,012200100,000,6,(((x*x)*y)*((x*y)*y))
118,x,7,6,000221121,111,5,((((x*x)*x)*y)*y)
119,x,16,6,021012012,111,7,((((x*x)*y)*x)*((y*x)*y))
120,x,16,0,021012012,000,7,(((x*x)*(x*y))*((x*y)*y))
121,y,16,6,021012012,111,7,((((y*y)*x)*y)*((x*y)*x))
122,y,16,0,021012012,000,7,(((y*x)*(x*x))*((y*x)*x))
123,y,6,0,000212112,000,7,((((y*x)*y)*x)*((y*x)*x))
124,y,14,0,012200100,000,6,(((y*x)*x)*((y*y)*x))
125,y,7,6,000221121,111,5,((((y*y)*y)*x)*x)
126,x,12,8,012022011,121,5,(((x*(y*x))*x)*x)
127,x,8,8,000222111,121,5,((((x*y)*y)*x)*x)
128,x,18,8,021022011,121,5,((((x*x)*y)*x)*x)
129,x,14,13,012200100,221,6,((((x*x)*(x*y))*x)*x)
130,x,14,8,012200100,121,6,((((x*x)*(y*x))*x)*x)
131,x,0,8,000000000,121,6,(((((x*x)*y)*y)*x)*x)
132,x,14,5,012200100,100,6,(((x*(y*x))*(x*x))*x)
133,x,0,5,000000000,100,6,((((x*y)*y)*(x*x))*x)
134,x,20,5,021200100,100,6,((((x*x)*y)*(x*x))*x)
135,x,12,5,012022011,100,7,((((x*x)*(y*x))*(x*x))*x)
136,x,8,5,000222111,100,7,(((((x*x)*y)*y)*(x*x))*x)
137,x,0,3,000000000,021,6,((((x*x)*y)*(x*y))*x)
138,x,20,3,021200100,021,6,((((x*y)*y)*(x*y))*x)
139,x,18,3,021022011,021,7,(((((x*x)*y)*y)*(x*y))*x)
140,x,8,0,000222111,000,7,(((((x*x)*y)*(x*y))*x)*x)
141,x,12,0,012022011,000,7,(((((x*y)*y)*(x*y))*x)*x)
142,x,12,3,012022011,021,7,((((x*y)*y)*(x*(y*x)))*x)
143,x,14,3,012200100,021,8,((((((x*y)*y)*x)*(x*y))*x)*x)
144,y,8,8,000222111,121,5,((((y*x)*x)*y)*y)
145,y,12,8,012022011,121,5,(((y*(x*y))*y)*y)
146,y,14,8,012200100,121,6,((((y*x)*(x*x))*y)*y)
147,y,0,8,000000000,121,6,(((((y*x)*y)*x)*y)*y)
148,y,14,13,012200100,221,6,((((y*x)*(y*y))*y)*y)
149,y,18,8,021022011,121,5,((((y*y)*x)*y)*y)
150,y,20,3,021200100,021,6,((((y*x)*x)*(y*x))*y)
151,y,0,3,000000000,021,6,((((y*y)*x)*(y*x))*y)
152,y,18,3,021022011,021,7,(((((y*x)*y)*x)*(y*x))*y)
153,y,0,5,000000000,100,6,((((y*x)*x)*(y*y))*y)
154,y,14,5,012200100,100,6,(((y*(x*y))*(y*y))*y)
155,y,12,5,012022011,100,7,((((y*x)*(x*x))*(y*y))*y)
156,y,8,5,000222111,100,7,(((((y*x)*y)*x)*(y*y))*y)
157,y,20,5,021200100,100,6,((((y*y)*x)*(y*y))*y)
158,y,12,3,012022011,021,7,((((y*x)*x)*(y*(x*y)))*y)
159,y,12,0,012022011,000,7,(((((y*x)*x)*(y*x))*y)*y)
160,y,14,3,012200100,021,8,((((((y*x)*x)*y)*(y*x))*y)*y)
161,y,8,0,000222111,000,7,(((((y*y)*x)*(y*x))*y)*y)
162,x,13,12,012100200,212,6,((((x*y)*x)*x)*(x*x))
163,x,13,5,012100200,100,6,(((x*(y*x))*x)*(x*x))
164,x,19,14,021100200,222,6,((x*((y*y)*y))*(x*x))
165,x,19,5,021100200,100,6,((((x*x)*y)*x)*(x*x))
166,x,9,5,012011022,100,7,((((x*x)*(y*x))*x)*(x*x))
167,x,1,5,000111222,100,7,(((((x*x)*y)*y)*x)*(x*x))
168,x,9,14,012011022,222,7,((x*(((y*y)*y)*x))*(x*x))
169,x,17,14,021021021,222,7,((((x*x)*y)*(y*y))*(x*x))
170,x,3,14,000121221,222,7,((((x*y)*y)*(x*y))*(x*y))
171,x,12,14,012022011,222,7,((((x*y)*x)*(y*y))*(x*x))
172,x,8,14,000222111,222,7,((((x*x)*x)*(y*y))*(x*x))
173,x,8,1,000222111,011,7,((((x*y)*x)*(x*y))*(x*x))
174,x,18,0,021022011,000,7,(((((x*y)*y)*x)*(x*y))*x)
175,x,7,14,000221121,222,7,((((x*x)*y)*(y*x))*(x*x))
176,x,7,0,000221121,000,7,((((x*x)*y)*(x*y))*(x*x))
177,x,17,0,021021021,000,7,((((x*y)*y)*(x*y))*(x*x))
178,x,18,14,021022011,222,7,((((x*x)*x)*(y*x))*(x*x))
179,x,14,14,012200100,222,6,((((x*x)*x)*y)*(x*x))
180,x,0,1,000000000,011,8,(((((x*x)*y)*x)*(x*y))*(x*x))
181,x,14,1,012200100,011,8,((((x*y)*x)*(x*(y*y)))*(x*x))
182,x,4,4,000122211,022,7,((((x*x)*x)*(x*y))*(x*y))
183,x,4,1,000122211,011,9,(((((x*x)*x)*y)*((x*y)*x))*(x*x))
184,x,12,1,012022011,011,9,(((((x*x)*y)*x)*(x*(y*y)))*(x*x))
185,x,13,1,012100200,011,8,((((x*y)*x)*((x*y)*y))*(x*x))
186,x,4,14,000122211,222,7,(((x*(y*y))*(x*y))*(x*y))
187,x,4,0,000122211,000,7,((((x*x)*x)*(y*x))*(x*y))
188,x,11,6,012021021,111,7,((((x*x)*y)*(x*y))*(y*x))
189,x,3,0,000121221,000,7,((((x*x)*y)*(x*x))*(x*y))
190,x,2,14,000112212,222,7,(((((x*x)*x)*y)*y)*(x*x))
191,x,11,14,012021021,222,7,((((x*x)*y)*(x*y))*(x*y))
192,x,11,0,012021021,000,7,((((x*x)*y)*(y*x))*(x*y))
193,x,4,6,000122211,111,7,((((x*x)*x)*(x*y))*(y*x))
194,x,13,4,012100200,022,6,((((x*y)*y)*x)*(x*y))
195,x,9,4,012011022,022,7,(((((x*x)*y)*y)*x)*(x*y))
196,x,12,4,012022011,022,9,((((((x*x)*y)*y)*x)*(x*x))*(x*y))
197,x,4,10,000122211,200,9,((((((x*x)*y)*y)*x)*(x*y))*(x*y))
198,y,13,4,012100200,022,6,((((y*x)*x)*y)*(y*x))
199,y,9,4,012011022,022,7,(((((y*x)*y)*x)*y)*(y*x))
200,y,11,6,012021021,111,7,((((y*x)*x)*(x*x))*(x*y))
201,y,4,6,000122211,111,7,((((y*x)*y)*(x*x))*(x*y))
202,y,11,0,012021021,000,7,((((y*x)*x)*(x*x))*(y*x))
203,y,3,0,000121221,000,7,((((y*x)*x)*(x*y))*(y*x))
204,y,4,14,000122211,222,7,(((y*(x*x))*(y*x))*(y*x))
205,y,12,14,012022011,222,7,((((y*x)*y)*(x*x))*(y*y))
206,y,4,4,000122211,022,7,((((y*x)*y)*(y*y))*(y*x))
207,y,4,0,000122211,000,7,((((y*x)*y)*(x*x))*(y*x))
208,y,3,14,000121221,222,7,((((y*x)*x)*(x*x))*(y*y))
209,y,11,14,012021021,222,7,((((y*y)*x)*(y*x))*(y*x))
210,y,4,10,000122211,200,9,((((((y*x)*y)*x)*y)*(y*x))*(y*x))
211,y,12,4,012022011,022,9,((((((y*x)*y)*x)*y)*(y*y))*(y*x))
212,y,19,14,021100200,222,6,((y*((x*x)*x))*(y*y))
213,y,13,5,012100200,100,6,(((y*(x*y))*y)*(y*y))
214,y,13,12,012100200,212,6,((((y*x)*y)*y)*(y*y))
215,y,9,14,012011022,222,7,((y*(((x*x)*x)*y))*(y*y))
216,y,9,5,012011022,100,7,((((y*x)*(x*x))*y)*(y*y))
217,y,1,5,000111222,100,7,(((((y*x)*y)*x)*y)*(y*y))
218,y,19,5,021100200,100,6,((((y*y)*x)*y)*(y*y))
219,y,7,14,000221121,222,7,((((y*y)*x)*(x*y))*(y*y))
220,y,17,14,021021021,222,7,((((y*x)*x)*(x*y))*(y*y))
221,y,18,0,021022011,000,7,(((((y*x)*x)*y)*(y*x))*y)
222,y,8,1,000222111,011,7,((((y*x)*y)*(y*x))*(y*y))
223,y,18,14,021022011,222,7,((((y*y)*y)*(x*y))*(y*y))
224,y,8,14,000222111,222,7,((((y*x)*y)*(x*y))*(y*y))
225,y,17,0,021021021,000,7,((((y*x)*x)*(y*x))*(y*y))
226,y,7,0,000221121,000,7,((((y*y)*x)*(y*x))*(y*y))
227,y,14,14,012200100,222,6,((((y*y)*y)*x)*(y*y))
228,y,14,1,012200100,011,8,((((y*x)*y)*(y*(x*x)))*(y*y))
229,y,0,1,000000000,011,8,(((((y*y)*x)*y)*(y*x))*(y*y))
230,y,13,1,012100200,011,8,((((y*x)*x)*((y*x)*y))*(y*y))
231,y,4,1,000122211,011,9,(((((y*y)*y)*x)*((y*x)*y))*(y*y))
232,y,12,1,012022011,011,9,(((((y*x)*x)*y)*(y*(x*y)))*(y*y))
233,y,2,14,000112212,222,7,(((((y*y)*y)*x)*x)*(y*y))
234,x,9,7,012011022,112,7,(((x*(y*x))*x)*((x*x)*x))
235,x,1,7,000111222,112,7,((((x*y)*y)*x)*((x*x)*x))
236,x,15,7,021011022,112,7,((((x*x)*y)*x)*((x*x)*x))
237,x,13,7,012100200,112,8,((((x*x)*(y*x))*x)*((x*x)*x))
238,x,0,7,000000000,112,8,(((((x*x)*y)*y)*x)*((x*x)*x))
239,x,0,2,000000000,012,8,(((((x*x)*y)*(x*y))*x)*(x*x))
240,x,19,2,021100200,012,8,(((((x*y)*y)*x)*x)*((x*y)*x))
241,x,15,2,021011022,012,9,((((((x*x)*y)*y)*x)*x)*((x*y)*x))
242,x,9,2,012011022,012,9,((((((x*x)*y)*y)*(x*y))*x)*(x*x))
243,x,13,2,012100200,012,8,(((((x*y)*y)*(x*y))*x)*(x*x))
244,x,20,1,021200100,011,8,(((((x*y)*y)*x)*(x*y))*(x*x))
245,x,1,1,000111222,011,9,(((((x*x)*x)*y)*(x*x))*((x*y)*x))
246,x,15,1,021011022,011,9,(((((x*x)*y)*y)*(x*x))*((x*y)*x))
247,x,19,1,021100200,011,8,((((x*y)*y)*(x*x))*((x*y)*x))
248,x,5,5,000211122,100,9,(((((x*x)*y)*y)*(x*y))*((x*y)*x))
249,x,5,3,000211122,021,9,(((((x*y)*x)*x)*(x*x))*((x*y)*x))
250,x,19,9,021100200,122,10,(((((x*y)*x)*(x*y))*(x*x))*((x*y)*x))
251,x,5,14,000211122,222,9,(((((x*x)*x)*(x*y))*(y*x))*(x*x))
252,x,5,10,000211122,200,9,(((((x*y)*y)*x)*(x*y))*(x*(y*x)))
253,y,5,14,000211122,222,9,(((((y*x)*y)*(x*x))*(x*y))*(y*y))
254,y,5,10,000211122,200,9,(((((y*x)*x)*y)*(y*x))*(y*(x*y)))
255,y,5,5,000211122,100,9,(((((y*x)*y)*x)*(y*x))*((y*x)*y))
256,y,20,1,021200100,011,8,(((((y*x)*x)*y)*(y*x))*(y*y))
257,y,19,1,021100200,011,8,((((y*x)*x)*(y*y))*((y*x)*y))
258,y,1,1,000111222,011,9,(((((y*y)*y)*x)*(y*y))*((y*x)*y))
259,y,15,1,021011022,011,9,(((((y*x)*y)*x)*(y*y))*((y*x)*y))
260,y,5,3,000211122,021,9,(((((y*x)*y)*y)*(y*y))*((y*x)*y))
261,y,19,9,021100200,122,10,(((((y*x)*y)*(y*x))*(y*y))*((y*x)*y))
262,y,1,7,000111222,112,7,((((y*x)*x)*y)*((y*y)*y))
