lhs_S_id,rhs_0,rhs_1,rhs_2,rhs_3,rhs_4,rhs_5,rhs_6,rhs_7,rhs_8,rhs_9,rhs_10,rhs_11,rhs_12,rhs_13,rhs_14,rhs_15,rhs_16,rhs_17,rhs_18,rhs_19,rhs_20
0,0,17,18,15,16,11,12,9,10,7,8,5,6,20,14,3,4,1,2,19,13
1,8,20,20,20,20,14,14,14,14,0,0,0,0,18,12,0,0,0,0,18,12
2,7,20,20,20,20,14,14,14,14,0,0,0,0,17,11,0,0,0,0,17,11
3,6,20,20,20,20,14,14,14,14,0,0,0,0,16,10,0,0,0,0,16,10
4,5,20,20,20,20,14,14,14,14,0,0,0,0,15,9,0,0,0,0,15,9
5,4,19,19,19,19,13,13,13,13,0,0,0,0,18,12,0,0,0,0,18,12
6,3,19,19,19,19,13,13,13,13,0,0,0,0,17,11,0,0,0,0,17,11
7,2,19,19,19,19,13,13,13,13,0,0,0,0,16,10,0,0,0,0,16,10
8,1,19,19,19,19,13,13,13,13,0,0,0,0,15,9,0,0,0,0,15,9
9,18,0,0,0,0,0,0,0,0,20,20,20,20,8,8,19,19,19,19,4,4
10,17,0,0,0,0,0,0,0,0,20,20,20,20,7,7,19,19,19,19,3,3
11,16,0,0,0,0,0,0,0,0,20,20,20,20,6,6,19,19,19,19,2,2
12,15,0,0,0,0,0,0,0,0,20,20,20,20,5,5,19,19,19,19,1,1
13,20,7,8,5,6,7,8,5,6,17,18,15,16,0,0,17,18,15,16,0,0
14,19,3,4,1,2,3,4,1,2,17,18,15,16,0,0,17,18,15,16,0,0
15,12,0,0,0,0,0,0,0,0,14,14,14,14,8,8,13,13,13,13,4,4
16,11,0,0,0,0,0,0,0,0,14,14,14,14,7,7,13,13,13,13,3,3
17,10,0,0,0,0,0,0,0,0,14,14,14,14,6,6,13,13,13,13,2,2
18,9,0,0,0,0,0,0,0,0,14,14,14,14,5,5,13,13,13,13,1,1
19,14,7,8,5,6,7,8,5,6,11,12,9,10,0,0,11,12,9,10,0,0
20,13,3,4,1,2,3,4,1,2,11,12,9,10,0,0,11,12,9,10,0,0
