U_id,unary_map_u012,plus_block,phi_u012,minus_block,image_size,occurrences_per_owner
0,000,000000000,000,000000000,1,21
1,011,000111111,022,000222222,2,21
2,012,000111222,012,000111222,3,21
3,021,000222111,021,000222111,3,21
4,022,000222222,011,000111111,2,21
5,100,111000000,200,222000000,2,21
6,111,111111111,222,222222222,1,21
7,112,111111222,212,222111222,2,21
8,121,111222111,221,222222111,2,21
9,122,111222222,211,222111111,2,21
10,200,222000000,100,111000000,2,21
11,211,222111111,122,111222222,2,21
12,212,222111222,112,111111222,2,21
13,221,222222111,121,111222111,2,21
14,222,222222222,111,111111111,1,21
