owner,block_dependencies_same_plus_minus,block_image_sizes_same_plus_minus,count
x,00/00/00,"(1, 1, 1)",3
x,00/10/10,"(1, 2, 2)",10
x,00/10/10,"(1, 3, 3)",2
x,01/00/00,"(3, 1, 1)",6
x,01/10/10,"(3, 2, 2)",20
x,01/10/10,"(3, 3, 3)",4
x,10/00/00,"(3, 1, 1)",6
x,10/10/10,"(3, 2, 2)",20
x,10/10/10,"(3, 3, 3)",4
x,11/00/00,"(3, 1, 1)",48
x,11/10/10,"(3, 2, 2)",160
x,11/10/10,"(3, 3, 3)",32
y,00/00/00,"(1, 1, 1)",3
y,00/10/10,"(1, 2, 2)",10
y,00/10/10,"(1, 3, 3)",2
y,01/00/00,"(3, 1, 1)",6
y,01/10/10,"(3, 2, 2)",20
y,01/10/10,"(3, 3, 3)",4
y,10/00/00,"(3, 1, 1)",6
y,10/10/10,"(3, 2, 2)",20
y,10/10/10,"(3, 3, 3)",4
y,11/00/00,"(3, 1, 1)",48
y,11/10/10,"(3, 2, 2)",160
y,11/10/10,"(3, 3, 3)",32
