sector,left,right,B=6tr(XY)
so3,A01=E01-E10,A01=E01-E10,-12
so3,A01=E01-E10,A02=E02-E20,0
so3,A01=E01-E10,A12=E12-E21,0
so3,A02=E02-E20,A01=E01-E10,0
so3,A02=E02-E20,A02=E02-E20,-12
so3,A02=E02-E20,A12=E12-E21,0
so3,A12=E12-E21,A01=E01-E10,0
so3,A12=E12-E21,A02=E02-E20,0
so3,A12=E12-E21,A12=E12-E21,-12
p,H1=E00-E11,H1=E00-E11,12
p,H1=E00-E11,H2=E11-E22,-6
p,H1=E00-E11,S01=E01+E10,0
p,H1=E00-E11,S02=E02+E20,0
p,H1=E00-E11,S12=E12+E21,0
p,H2=E11-E22,H1=E00-E11,-6
p,H2=E11-E22,H2=E11-E22,12
p,H2=E11-E22,S01=E01+E10,0
p,H2=E11-E22,S02=E02+E20,0
p,H2=E11-E22,S12=E12+E21,0
p,S01=E01+E10,H1=E00-E11,0
p,S01=E01+E10,H2=E11-E22,0
p,S01=E01+E10,S01=E01+E10,12
p,S01=E01+E10,S02=E02+E20,0
p,S01=E01+E10,S12=E12+E21,0
p,S02=E02+E20,H1=E00-E11,0
p,S02=E02+E20,H2=E11-E22,0
p,S02=E02+E20,S01=E01+E10,0
p,S02=E02+E20,S02=E02+E20,12
p,S02=E02+E20,S12=E12+E21,0
p,S12=E12+E21,H1=E00-E11,0
p,S12=E12+E21,H2=E11-E22,0
p,S12=E12+E21,S01=E01+E10,0
p,S12=E12+E21,S02=E02+E20,0
p,S12=E12+E21,S12=E12+E21,12
