check,passed,value
positive_composition_semigroup_size,True,51
B_0_semigroup_size,True,6
B_0_semigroup_expected_form,True,011;012;021;022;100;200
W_0_element_count,True,17
W_0_normal_form_count,True,17
W_0_normal_forms_match_semigroup,True,
dim_W_0,True,9
basis_W_0_size,True,9
B_1_semigroup_size,True,6
B_1_semigroup_expected_form,True,010;012;101;121;210;212
W_1_element_count,True,17
W_1_normal_form_count,True,17
W_1_normal_forms_match_semigroup,True,
dim_W_1,True,9
basis_W_1_size,True,9
B_2_semigroup_size,True,6
B_2_semigroup_expected_form,True,002;012;102;112;220;221
W_2_element_count,True,17
W_2_normal_form_count,True,17
W_2_normal_forms_match_semigroup,True,
dim_W_2,True,9
basis_W_2_size,True,9
all_normal_forms_match_full_semigroup,True,51
composition_envelope_dimension_sum,True,27
W_0_times_W_0_subset_W_0,True,
W_0_times_W_1_subset_W_0,True,
W_0_times_W_2_subset_W_0,True,
W_1_times_W_0_subset_W_1,True,
W_1_times_W_1_subset_W_1,True,
W_1_times_W_2_subset_W_1,True,
W_2_times_W_0_subset_W_2,True,
W_2_times_W_1_subset_W_2,True,
W_2_times_W_2_subset_W_2,True,
