S_id,same_row_map,dependencies_owner_other,image_size,occurrences_per_owner
0,000000000,00,1,15
1,000111222,10,3,15
2,000112212,11,3,15
3,000121221,11,3,15
4,000122211,11,3,15
5,000211122,11,3,15
6,000212112,11,3,15
7,000221121,11,3,15
8,000222111,10,3,15
9,012011022,11,3,15
10,012012012,01,3,15
11,012021021,11,3,15
12,012022011,11,3,15
13,012100200,11,3,15
14,012200100,11,3,15
15,021011022,11,3,15
16,021012012,11,3,15
17,021021021,01,3,15
18,021022011,11,3,15
19,021100200,11,3,15
20,021200100,11,3,15
