u,v,same_row,normal_form,verified
"(0, 0)","(0, 0)",True,"T(0,021,0)",True
"(0, 0)","(0, 1)",True,"T(0,021,1)",True
"(0, 0)","(0, 2)",True,"T(0,021,2)",True
"(0, 0)","(1, 0)",False,"K(0,1)",True
"(0, 0)","(1, 1)",False,"K(0,1)",True
"(0, 0)","(1, 2)",False,"K(0,1)",True
"(0, 0)","(2, 0)",False,"K(0,2)",True
"(0, 0)","(2, 1)",False,"K(0,2)",True
"(0, 0)","(2, 2)",False,"K(0,2)",True
"(0, 1)","(0, 0)",True,"T(0,200,0)",True
"(0, 1)","(0, 1)",True,"T(0,200,1)",True
"(0, 1)","(0, 2)",True,"T(0,200,2)",True
"(0, 1)","(1, 0)",False,"K(0,1)",True
"(0, 1)","(1, 1)",False,"K(0,1)",True
"(0, 1)","(1, 2)",False,"K(0,1)",True
"(0, 1)","(2, 0)",False,"K(0,2)",True
"(0, 1)","(2, 1)",False,"K(0,2)",True
"(0, 1)","(2, 2)",False,"K(0,2)",True
"(0, 2)","(0, 0)",True,"T(0,100,0)",True
"(0, 2)","(0, 1)",True,"T(0,100,1)",True
"(0, 2)","(0, 2)",True,"T(0,100,2)",True
"(0, 2)","(1, 0)",False,"K(0,1)",True
"(0, 2)","(1, 1)",False,"K(0,1)",True
"(0, 2)","(1, 2)",False,"K(0,1)",True
"(0, 2)","(2, 0)",False,"K(0,2)",True
"(0, 2)","(2, 1)",False,"K(0,2)",True
"(0, 2)","(2, 2)",False,"K(0,2)",True
"(1, 0)","(0, 0)",False,"K(1,0)",True
"(1, 0)","(0, 1)",False,"K(1,0)",True
"(1, 0)","(0, 2)",False,"K(1,0)",True
"(1, 0)","(1, 0)",True,"T(1,121,0)",True
"(1, 0)","(1, 1)",True,"T(1,121,1)",True
"(1, 0)","(1, 2)",True,"T(1,121,2)",True
"(1, 0)","(2, 0)",False,"K(1,2)",True
"(1, 0)","(2, 1)",False,"K(1,2)",True
"(1, 0)","(2, 2)",False,"K(1,2)",True
"(1, 1)","(0, 0)",False,"K(1,0)",True
"(1, 1)","(0, 1)",False,"K(1,0)",True
"(1, 1)","(0, 2)",False,"K(1,0)",True
"(1, 1)","(1, 0)",True,"T(1,210,0)",True
"(1, 1)","(1, 1)",True,"T(1,210,1)",True
"(1, 1)","(1, 2)",True,"T(1,210,2)",True
"(1, 1)","(2, 0)",False,"K(1,2)",True
"(1, 1)","(2, 1)",False,"K(1,2)",True
"(1, 1)","(2, 2)",False,"K(1,2)",True
"(1, 2)","(0, 0)",False,"K(1,0)",True
"(1, 2)","(0, 1)",False,"K(1,0)",True
"(1, 2)","(0, 2)",False,"K(1,0)",True
"(1, 2)","(1, 0)",True,"T(1,101,0)",True
"(1, 2)","(1, 1)",True,"T(1,101,1)",True
"(1, 2)","(1, 2)",True,"T(1,101,2)",True
"(1, 2)","(2, 0)",False,"K(1,2)",True
"(1, 2)","(2, 1)",False,"K(1,2)",True
"(1, 2)","(2, 2)",False,"K(1,2)",True
"(2, 0)","(0, 0)",False,"K(2,0)",True
"(2, 0)","(0, 1)",False,"K(2,0)",True
"(2, 0)","(0, 2)",False,"K(2,0)",True
"(2, 0)","(1, 0)",False,"K(2,1)",True
"(2, 0)","(1, 1)",False,"K(2,1)",True
"(2, 0)","(1, 2)",False,"K(2,1)",True
"(2, 0)","(2, 0)",True,"T(2,221,0)",True
"(2, 0)","(2, 1)",True,"T(2,221,1)",True
"(2, 0)","(2, 2)",True,"T(2,221,2)",True
"(2, 1)","(0, 0)",False,"K(2,0)",True
"(2, 1)","(0, 1)",False,"K(2,0)",True
"(2, 1)","(0, 2)",False,"K(2,0)",True
"(2, 1)","(1, 0)",False,"K(2,1)",True
"(2, 1)","(1, 1)",False,"K(2,1)",True
"(2, 1)","(1, 2)",False,"K(2,1)",True
"(2, 1)","(2, 0)",True,"T(2,220,0)",True
"(2, 1)","(2, 1)",True,"T(2,220,1)",True
"(2, 1)","(2, 2)",True,"T(2,220,2)",True
"(2, 2)","(0, 0)",False,"K(2,0)",True
"(2, 2)","(0, 1)",False,"K(2,0)",True
"(2, 2)","(0, 2)",False,"K(2,0)",True
"(2, 2)","(1, 0)",False,"K(2,1)",True
"(2, 2)","(1, 1)",False,"K(2,1)",True
"(2, 2)","(1, 2)",False,"K(2,1)",True
"(2, 2)","(2, 0)",True,"T(2,102,0)",True
"(2, 2)","(2, 1)",True,"T(2,102,1)",True
"(2, 2)","(2, 2)",True,"T(2,102,2)",True
