A_operator,C_operator,left_boundary_operator,right_boundary_operator,I,B,H,triple_count,H_contribution
"K(0,1)","K(0,1)","T(0,012,1)","T(0,012,1)",0,0,0,27,0
"K(0,1)","K(0,2)","T(0,012,1)","T(0,012,2)",18,2,16,27,432
"K(0,1)","T(0,021,1)","T(0,012,1)","T(0,012,2)",10,2,8,9,72
"K(0,1)","T(0,100,1)","T(0,012,1)","T(0,012,0)",14,6,8,9,72
"K(0,1)","T(0,200,1)","T(0,012,1)","T(0,012,0)",18,6,12,9,108
"K(0,2)","K(0,1)","T(0,012,2)","T(0,012,1)",18,2,16,27,432
"K(0,2)","K(0,2)","T(0,012,2)","T(0,012,2)",0,0,0,27,0
"K(0,2)","T(0,021,2)","T(0,012,2)","T(0,012,1)",10,2,8,9,72
"K(0,2)","T(0,100,1)","T(0,012,2)","T(0,012,0)",18,6,12,9,108
"K(0,2)","T(0,200,1)","T(0,012,2)","T(0,012,0)",14,6,8,9,72
"K(1,0)","K(1,0)","T(1,012,0)","T(1,012,0)",0,0,0,27,0
"K(1,0)","K(1,2)","T(1,012,0)","T(1,012,2)",18,2,16,27,432
"K(1,0)","T(1,101,0)","T(1,012,0)","T(1,012,1)",14,6,8,9,72
"K(1,0)","T(1,121,0)","T(1,012,0)","T(1,012,1)",18,6,12,9,108
"K(1,0)","T(1,210,0)","T(1,012,0)","T(1,012,2)",10,2,8,9,72
"K(1,2)","K(1,0)","T(1,012,2)","T(1,012,0)",18,2,16,27,432
"K(1,2)","K(1,2)","T(1,012,2)","T(1,012,2)",0,0,0,27,0
"K(1,2)","T(1,101,0)","T(1,012,2)","T(1,012,1)",18,6,12,9,108
"K(1,2)","T(1,121,0)","T(1,012,2)","T(1,012,1)",14,6,8,9,72
"K(1,2)","T(1,210,2)","T(1,012,2)","T(1,012,0)",10,2,8,9,72
"K(2,0)","K(2,0)","T(2,012,0)","T(2,012,0)",0,0,0,27,0
"K(2,0)","K(2,1)","T(2,012,0)","T(2,012,1)",18,2,16,27,432
"K(2,0)","T(2,102,0)","T(2,012,0)","T(2,012,1)",10,2,8,9,72
"K(2,0)","T(2,220,0)","T(2,012,0)","T(2,012,2)",14,6,8,9,72
"K(2,0)","T(2,221,0)","T(2,012,0)","T(2,012,2)",18,6,12,9,108
"K(2,1)","K(2,0)","T(2,012,1)","T(2,012,0)",18,2,16,27,432
"K(2,1)","K(2,1)","T(2,012,1)","T(2,012,1)",0,0,0,27,0
"K(2,1)","T(2,102,1)","T(2,012,1)","T(2,012,0)",10,2,8,9,72
"K(2,1)","T(2,220,0)","T(2,012,1)","T(2,012,2)",18,6,12,9,108
"K(2,1)","T(2,221,0)","T(2,012,1)","T(2,012,2)",14,6,8,9,72
"T(0,021,0)","T(0,021,0)","T(0,012,0)","T(0,012,0)",0,0,0,1,0
"T(0,021,0)","T(0,100,1)","T(0,012,0)","T(0,012,0)",14,0,14,2,28
"T(0,021,0)","T(0,200,1)","T(0,012,0)","T(0,012,0)",14,0,14,2,28
"T(0,021,1)","T(0,021,2)","T(0,012,2)","T(0,012,1)",2,2,0,1,0
"T(0,021,1)","T(0,100,0)","T(0,012,2)","T(0,012,1)",12,2,10,2,20
"T(0,021,1)","T(0,200,0)","T(0,012,2)","T(0,012,2)",14,0,14,2,28
"T(0,021,2)","T(0,021,1)","T(0,012,1)","T(0,012,2)",2,2,0,1,0
"T(0,021,2)","T(0,100,0)","T(0,012,1)","T(0,012,1)",14,0,14,2,28
"T(0,021,2)","T(0,200,0)","T(0,012,1)","T(0,012,2)",12,2,10,2,20
"T(0,100,0)","K(0,2)","T(0,012,1)","T(0,012,2)",18,2,16,9,144
"T(0,100,0)","T(0,021,2)","T(0,012,1)","T(0,012,1)",14,0,14,1,14
"T(0,100,0)","T(0,200,0)","T(0,012,1)","T(0,012,2)",2,2,0,1,0
"T(0,100,1)","K(0,2)","T(0,012,0)","T(0,012,2)",18,6,12,18,216
"T(0,100,1)","T(0,021,0)","T(0,012,0)","T(0,012,0)",14,0,14,2,28
"T(0,100,1)","T(0,200,1)","T(0,012,0)","T(0,012,0)",4,0,4,2,8
"T(0,200,0)","K(0,1)","T(0,012,2)","T(0,012,1)",18,2,16,9,144
"T(0,200,0)","T(0,021,1)","T(0,012,2)","T(0,012,2)",14,0,14,1,14
"T(0,200,0)","T(0,100,0)","T(0,012,2)","T(0,012,1)",2,2,0,1,0
