kind,I_tot,B_tot,H_tot,H_plus,H_minus,N_minus,assoc_count,B_zero_count
PAB,8904,1884,7020,7020,0,0,219,219
PAB:RRR,804,48,756,756,0,0,,
PAB:RRS,2268,756,1512,1512,0,0,,
PAB:RSR,2916,756,2160,2160,0,0,,
PAB:RSS,0,0,0,0,0,0,,
PAB:RST,2916,324,2592,2592,0,0,,
row-complement,8904,1884,7020,7020,0,0,219,219
row-complement:RRR,804,48,756,756,0,0,,
row-complement:RRS,2268,756,1512,1512,0,0,,
row-complement:RSR,2916,756,2160,2160,0,0,,
row-complement:RSS,0,0,0,0,0,0,,
row-complement:RST,2916,324,2592,2592,0,0,,
