left,right,bracket
E00,E01,E01
E00,E02,E02
E00,E10,-E10
E00,E20,-E20
E01,E00,-E01
E01,E10,E00-E11
E01,E11,E01
E01,E12,E02
E01,E20,-E21
E02,E00,-E02
E02,E10,-E12
E02,E20,E00-E22
E02,E21,E01
E02,E22,E02
E10,E00,E10
E10,E01,-E00+E11
E10,E02,E12
E10,E11,-E10
E10,E21,-E20
E11,E01,-E01
E11,E10,E10
E11,E12,E12
E11,E21,-E21
E12,E01,-E02
E12,E11,-E12
E12,E20,E10
E12,E21,E11-E22
E12,E22,E12
E20,E00,E20
E20,E01,E21
E20,E02,-E00+E22
E20,E12,-E10
E20,E22,-E20
E21,E02,-E01
E21,E10,E20
E21,E11,E21
E21,E12,-E11+E22
E21,E22,-E21
E22,E02,-E02
E22,E12,-E12
E22,E20,E20
E22,E21,E21
