utc,chunk_index,start_index,end_index,expected_min_rawH,rerun_min_rawH,expected_max_rawH,rerun_max_rawH,expected_upper_violations,rerun_upper_violations,expected_lower_violations,rerun_lower_violations,seconds,mismatch
2026-05-03T06:00:01+00:00,0,0,5000000,97,97,1217,1217,0,0,0,0,5.994,0
2026-05-03T06:00:07+00:00,236,1180000000,1185000000,-16,-16,908,908,0,0,0,0,6.062,0
2026-05-03T06:00:13+00:00,363,1815000000,1820000000,-165,-165,942,942,0,0,0,0,6.069,0
2026-05-03T06:00:19+00:00,429,2145000000,2150000000,-80,-80,1068,1068,0,0,0,0,6.131,0
2026-05-03T06:00:26+00:00,781,3905000000,3910000000,-152,-152,1041,1041,0,0,0,0,6.235,0
2026-05-03T06:00:32+00:00,1265,6325000000,6330000000,-89,-89,974,974,0,0,0,0,6.206,0
2026-05-03T06:00:38+00:00,1678,8390000000,8395000000,-147,-147,1017,1017,0,0,0,0,6.248,0
2026-05-03T06:00:38+00:00,2092,10460000000,10460353203,202,202,1217,1217,0,0,0,0,0.44,0
2026-05-03T06:08:01+00:00,0,0,5000000,97,97,1217,1217,0,0,0,0,6.178,0
2026-05-03T06:08:07+00:00,236,1180000000,1185000000,-16,-16,908,908,0,0,0,0,6.175,0
2026-05-03T06:08:13+00:00,363,1815000000,1820000000,-165,-165,942,942,0,0,0,0,6.163,0
2026-05-03T06:08:20+00:00,429,2145000000,2150000000,-80,-80,1068,1068,0,0,0,0,6.219,0
2026-05-03T06:08:26+00:00,781,3905000000,3910000000,-152,-152,1041,1041,0,0,0,0,6.25,0
2026-05-03T06:08:32+00:00,1265,6325000000,6330000000,-89,-89,974,974,0,0,0,0,6.221,0
2026-05-03T06:08:38+00:00,1678,8390000000,8395000000,-147,-147,1017,1017,0,0,0,0,6.217,0
2026-05-03T06:08:39+00:00,2092,10460000000,10460353203,202,202,1217,1217,0,0,0,0,0.45,0
