utc,window_index,chunk_index,offset,end_offset,nodes,unsat,sat,unknown,seconds,cumulative_checked,cumulative_unsat,cumulative_sat,cumulative_unknown,next_offset
2026-05-02T14:31:35+00:00,0,30,4860,5022,162,162,0,0,109.001,162,162,0,0,5022
2026-05-02T14:33:16+00:00,0,31,5022,5184,162,162,0,0,101.223,324,324,0,0,5184
2026-05-02T14:35:40+00:00,0,32,5184,5346,162,162,0,0,143.353,486,486,0,0,5346
2026-05-02T14:38:07+00:00,0,33,5346,5508,162,162,0,0,147.156,648,648,0,0,5508
2026-05-02T14:40:27+00:00,0,34,5508,5670,162,162,0,0,140.518,810,810,0,0,5670
2026-05-02T14:42:10+00:00,0,35,5670,5832,162,162,0,0,102.219,972,972,0,0,5832
2026-05-02T14:43:12+00:00,0,36,5832,5994,162,162,0,0,61.918,1134,1134,0,0,5994
2026-05-02T14:44:08+00:00,0,37,5994,6156,162,162,0,0,56.204,1296,1296,0,0,6156
2026-05-02T14:45:17+00:00,1,38,6156,6318,162,162,0,0,58.062,1458,1458,0,0,6318
2026-05-02T14:46:19+00:00,1,39,6318,6480,162,162,0,0,62.231,1620,1620,0,0,6480
2026-05-02T14:47:03+00:00,1,40,6480,6642,162,162,0,0,44.65,1782,1782,0,0,6642
2026-05-02T14:48:38+00:00,1,41,6642,6804,162,162,0,0,94.921,1944,1944,0,0,6804
2026-05-02T14:50:20+00:00,1,42,6804,6966,162,162,0,0,101.8,2106,2106,0,0,6966
2026-05-02T14:51:58+00:00,1,43,6966,7128,162,162,0,0,97.73,2268,2268,0,0,7128
2026-05-02T14:53:31+00:00,1,44,7128,7290,162,162,0,0,93.178,2430,2430,0,0,7290
2026-05-02T14:54:52+00:00,1,45,7290,7452,162,162,0,0,80.817,2592,2592,0,0,7452
2026-05-02T14:56:30+00:00,2,46,7452,7614,162,162,0,0,87.077,2754,2754,0,0,7614
2026-05-02T14:57:22+00:00,2,47,7614,7776,162,162,0,0,52.428,2916,2916,0,0,7776
2026-05-02T14:58:42+00:00,2,48,7776,7938,162,162,0,0,80.062,3078,3078,0,0,7938
2026-05-02T15:00:40+00:00,2,49,7938,8100,162,162,0,0,117.416,3240,3240,0,0,8100
2026-05-02T15:03:07+00:00,2,50,8100,8262,162,162,0,0,147.197,3402,3402,0,0,8262
2026-05-02T15:06:05+00:00,2,51,8262,8424,162,162,0,0,178.669,3564,3564,0,0,8424
2026-05-02T15:07:59+00:00,2,52,8424,8586,162,162,0,0,113.851,3726,3726,0,0,8586
2026-05-02T15:09:54+00:00,2,53,8586,8748,162,162,0,0,114.742,3888,3888,0,0,8748
2026-05-02T15:11:15+00:00,3,54,8748,8910,162,162,0,0,69.746,4050,4050,0,0,8910
2026-05-02T15:12:19+00:00,3,55,8910,9072,162,162,0,0,64.922,4212,4212,0,0,9072
2026-05-02T15:13:23+00:00,3,56,9072,9234,162,162,0,0,63.166,4374,4374,0,0,9234
2026-05-02T15:14:29+00:00,3,57,9234,9396,162,162,0,0,65.938,4536,4536,0,0,9396
2026-05-02T15:16:02+00:00,3,58,9396,9558,162,162,0,0,93.471,4698,4698,0,0,9558
2026-05-02T15:17:16+00:00,3,59,9558,9720,162,162,0,0,74.18,4860,4860,0,0,9720
