utc,window_index,offset,end_offset,nodes,unsat,sat,unknown,build_seconds,check_seconds,elapsed_seconds,next_offset
2026-05-02T14:44:08+00:00,0,4860,6156,1296,1296,0,0,10.794,861.594,872.403,6156
2026-05-02T14:54:52+00:00,1,6156,7452,1296,1296,0,0,10.697,633.391,644.09,7452
2026-05-02T15:09:54+00:00,2,7452,8748,1296,1296,0,0,10.736,891.446,902.184,8748
2026-05-02T15:19:09+00:00,3,8748,10044,1296,1296,0,0,10.695,543.847,554.543,10044
2026-05-02T15:30:57+00:00,4,10044,11340,1296,1296,0,0,10.688,698.024,708.714,11340
2026-05-02T15:35:46+00:00,5,11340,12636,1296,1296,0,0,10.686,277.983,288.67,12636
2026-05-02T15:45:27+00:00,6,12636,13932,1296,1296,0,0,10.709,570.478,581.189,13932
2026-05-02T15:59:12+00:00,7,13932,15228,1296,1296,0,0,10.705,813.934,824.64,15228
2026-05-02T16:11:48+00:00,8,15228,16524,1296,1296,0,0,10.696,745.186,755.883,16524
2026-05-02T16:23:36+00:00,9,16524,17820,1296,1296,0,0,10.712,697.69,708.404,17820
2026-05-02T16:29:29+00:00,10,17820,18540,720,720,0,0,10.73,342.314,353.046,18540
