utc,chunk_index,start_index,end_index,points,seconds_core,seconds_wall,min_rawH,max_rawH,min_H_tot,max_H_tot,min_index,max_index,min_word,max_word,min_count,max_count,min_N_neg,max_N_neg_values,high_points,high_pure_points,high_impure_points,pair_count,witness_count,witness_overflow,cumulative_points,cumulative_high_points,cumulative_high_pure_points,cumulative_high_impure_points,cumulative_min_rawH,cumulative_max_rawH,cumulative_max_count,cumulative_max_N_neg_values,stored_witnesses,cumulative_witness_overflow,next_index
2026-05-03T06:32:16+00:00,0,0,5000000,5000000,6.562,6.564,97,1217,582,7302,2637878,265731,000000011222000111012,000000000111111111220,1,4,204,3,4,0,4,1,4,0,5000000,4,0,4,97,1217,4,3,4,0,5000000
2026-05-03T06:32:23+00:00,1,5000000,10000000,5000000,6.588,6.592,-16,1124,-96,6744,9395087,5048700,000000122200022122012,000000100111111111220,1,1,288,18,0,0,0,0,0,0,10000000,4,0,4,-16,1217,4,3,4,0,10000000
2026-05-03T06:32:29+00:00,2,10000000,15000000,5000000,6.646,6.65,-15,1104,-90,6624,14178056,14880331,000000222200022122012,000001000222222222101,1,1,237,18,0,0,0,0,0,0,15000000,4,0,4,-16,1217,4,3,4,0,15000000
2026-05-03T06:32:36+00:00,3,15000000,20000000,5000000,6.726,6.73,72,1012,432,6072,17502080,15146079,000001012221012100012,000001001111111111220,1,1,339,9,0,0,0,0,0,0,20000000,4,0,4,-16,1217,4,3,4,0,20000000
2026-05-03T06:32:43+00:00,4,20000000,25000000,5000000,6.681,6.685,-18,924,-108,5544,23763542,20194741,000001122201022110012,000001101222222222101,1,1,381,24,0,0,0,0,0,0,25000000,4,0,4,-18,1217,4,3,4,0,25000000
2026-05-03T06:32:50+00:00,5,25000000,30000000,5000000,6.703,6.706,-24,1124,-144,6744,27068018,29229238,000001212221012100012,000002000222222222101,1,1,345,18,0,0,0,0,0,0,30000000,4,0,4,-24,1217,4,3,4,0,30000000
2026-05-03T06:32:56+00:00,6,30000000,35000000,5000000,6.712,6.715,63,1105,378,6630,34329182,30026427,000002101121002210012,000002002111111111220,1,1,345,21,0,0,0,0,0,0,35000000,4,0,4,-24,1217,4,3,4,0,35000000
2026-05-03T06:33:03+00:00,7,35000000,40000000,5000000,6.825,6.828,-38,978,-228,5868,37047461,38529483,000002120201012120012,000002200111111111220,1,1,384,27,0,0,0,0,0,0,40000000,4,0,4,-38,1217,4,3,4,0,40000000
2026-05-03T06:33:10+00:00,8,40000000,45000000,5000000,6.916,6.919,-72,1084,-432,6504,42300797,43578145,000002221121002210012,000010000222222222101,1,1,354,27,0,0,0,0,0,0,45000000,4,0,4,-72,1217,4,3,4,0,45000000
2026-05-03T06:33:17+00:00,9,45000000,50000000,5000000,6.854,6.858,33,1030,198,6180,48873245,45172468,000010101222000111012,000010010222222222101,1,1,252,33,0,0,0,0,0,0,50000000,4,0,4,-72,1217,4,3,4,0,50000000
2026-05-03T06:33:24+00:00,10,50000000,55000000,5000000,6.749,6.753,-13,936,-78,5616,52593332,54472714,000010122222000111012,000010210111111111221,1,1,273,18,0,0,0,0,0,0,55000000,4,0,4,-72,1217,4,3,4,0,55000000
2026-05-03T06:33:30+00:00,11,55000000,60000000,5000000,6.75,6.754,3,990,18,5940,56844860,57927052,000010221222000111012,000011000222222222101,1,1,264,33,0,0,0,0,0,0,60000000,4,0,4,-72,1217,4,3,4,0,60000000
2026-05-03T06:33:37+00:00,12,60000000,65000000,5000000,6.767,6.771,-32,922,-192,5532,63676373,60052816,000011102211002120012,000011011222222222101,1,1,408,54,0,0,0,0,0,0,65000000,4,0,4,-72,1217,4,3,4,0,65000000
2026-05-03T06:33:44+00:00,13,65000000,70000000,5000000,6.782,6.785,-59,819,-354,4914,66810263,67452118,000011122201022110012,000011200220220220121,1,1,420,24,0,0,0,0,0,0,70000000,4,0,4,-72,1217,4,3,4,0,70000000
2026-05-03T06:33:51+00:00,14,70000000,75000000,5000000,6.762,6.765,-22,995,-132,5970,71713274,72275959,000011222221102010012,000012000222222222101,1,1,339,18,0,0,0,0,0,0,75000000,4,0,4,-72,1217,4,3,4,0,75000000
2026-05-03T06:33:57+00:00,15,75000000,80000000,5000000,6.75,6.754,-78,887,-468,5322,79826018,77058928,000012120012120201012,000012100222222222101,1,1,399,30,0,0,0,0,0,0,80000000,4,0,4,-78,1217,4,3,4,0,80000000
2026-05-03T06:34:04+00:00,16,80000000,85000000,5000000,6.768,6.771,-78,862,-468,5172,80094182,81801025,000012120201012120012,000012200220220220121,1,1,399,9,0,0,0,0,0,0,85000000,4,0,4,-78,1217,4,3,4,0,85000000
2026-05-03T06:34:11+00:00,17,85000000,90000000,5000000,6.735,6.738,-118,1146,-708,6876,85347518,86624866,000012221121002210012,000020000222222222101,1,1,396,6,0,0,0,0,0,0,90000000,4,0,4,-118,1217,4,3,4,0,90000000
