utc,chunk_index,index,word,rawH,H_tot,N_neg,H_pos,H_neg_abs,h_loc_min,h_loc_max,metrics_json
2026-05-03T06:32:16+00:00,0,265731,000000000111111111220,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T06:32:16+00:00,0,265732,000000000111111111221,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T06:32:16+00:00,0,531424,000000000222222222101,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T06:32:16+00:00,0,531430,000000000222222222121,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T08:30:49+00:00,1045,5229910905,111111111000000000220,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T08:30:49+00:00,1045,5229910906,111111111000000000221,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T08:30:56+00:00,1046,5230442304,111111111222222222100,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T08:30:56+00:00,1046,5230442313,111111111222222222200,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T10:29:38+00:00,2091,10459821772,222222222000000000101,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T10:29:38+00:00,2091,10459821778,222222222000000000121,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T10:29:38+00:00,2092,10460087478,222222222111111111100,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
2026-05-03T10:29:38+00:00,2092,10460087487,222222222111111111200,1217,7302,3,7308,6,-2,18,"{""H_DIST"": 2592, ""H_RRR"": 930, ""H_RRS"": 1512, ""H_RSR"": 2268, ""H_SRR"": 0, ""H_neg_abs"": 6, ""H_pos"": 7308, ""H_tot"": 7302, ""N_neg"": 3, ""h_loc_max"": 18, ""h_loc_min"": -2, ""rawB"": 308, ""rawH"": 1217, ""rawI"": 1525}"
