mode,d,x21,sample_index,A,B,canonical_x21,tau_x21,tau_fixed,d_class,raw,assoc,raw_blocks,assoc_blocks
max,000,101010010110001001000,0,101010010,110001001,101010010110001001000,202020020220002002000,False,constant,199,597,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,RRR:57;RRS:108;RSR:108;RSS:162;RST:162
max,000,202020020220002002000,1,202020020,220002002,101010010110001001000,101010010110001001000,False,constant,199,597,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,RRR:57;RRS:108;RSR:108;RSS:162;RST:162
max,111,110001110011100011111,0,110001110,011100011,022022200202202020222,022022200202202020222,False,constant,199,597,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,RRR:57;RRS:108;RSR:108;RSS:162;RST:162
max,111,112221112211122211111,1,112221112,211122211,112221112211122211111,122122211212212121222,False,constant,199,597,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,RRR:57;RRS:108;RSR:108;RSS:162;RST:162
max,222,022022200202202020222,0,022022200,202202020,022022200202202020222,110001110011100011111,False,constant,199,597,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,RRR:57;RRS:108;RSR:108;RSS:162;RST:162
max,222,122122211212212121222,1,122122211,212212121,112221112211122211111,112221112211122211111,False,constant,199,597,RRR:19;RRS:36;RSR:36;RSS:54;RST:54,RRR:57;RRS:108;RSR:108;RSS:162;RST:162
min,100,010210010021021021100,0,010210010,021021021,010210010021021021100,021021021002002102200,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,100,210210210001021001100,1,210210210,001021001,020020021102102102200,020020021102102102200,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,101,210110110021021021101,1,210110110,021021021,021021021102202202220,021021021102202202220,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,101,210210210021011011101,0,210210210,021011011,021022022102102102220,021022022102102102220,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,120,010210010021021021120,2,010210010,021021021,010210010021021021120,021021021002002102201,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,120,021021021102202202120,0,021021021,102202202,021021021102202202120,210110110021021021201,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,120,021022022102102102120,1,021022022,102102102,021022022102102102120,210210210021011011201,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,120,102102102211211210120,3,102102102,211211210,102102102211211210120,122102122210210210201,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,120,112112102210210210120,4,112112102,210210210,102102102212210212201,102102102212210212201,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,120,210210210001021001120,5,210210210,001021001,020020021102102102201,020020021102102102201,False,permutation,21,63,RRR:9;RRS:2;RSR:2;RSS:4;RST:4,RRR:27;RRS:6;RSR:6;RSS:12;RST:12
min,121,102102102211211210121,0,102102102,211211210,102102102211211210121,122102122210210210221,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,121,112112102210210210121,1,112112102,210210210,102102102212210212221,102102102212210212221,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
min,200,020020021102102102200,1,020020021,102102102,020020021102102102200,210210210001021001100,False,two-valued_no_fixed,21,63,RRR:11;RRS:2;RSR:2;RSS:2;RST:4,RRR:33;RRS:6;RSR:6;RSS:6;RST:12
