lhs_S_id,rhs_0,rhs_1,rhs_2,rhs_3,rhs_4,rhs_5,rhs_6,rhs_7,rhs_8,rhs_9,rhs_10,rhs_11,rhs_12,rhs_13,rhs_14,rhs_15,rhs_16,rhs_17,rhs_18,rhs_19,rhs_20
0,0,8,7,6,5,4,3,2,1,18,17,16,15,20,19,12,11,10,9,14,13
1,8,0,0,0,0,0,0,0,0,20,20,20,20,18,18,14,14,14,14,12,12
2,7,0,0,0,0,0,0,0,0,20,20,20,20,17,17,14,14,14,14,11,11
3,6,0,0,0,0,0,0,0,0,20,20,20,20,16,16,14,14,14,14,10,10
4,5,0,0,0,0,0,0,0,0,20,20,20,20,15,15,14,14,14,14,9,9
5,4,0,0,0,0,0,0,0,0,19,19,19,19,18,18,13,13,13,13,12,12
6,3,0,0,0,0,0,0,0,0,19,19,19,19,17,17,13,13,13,13,11,11
7,2,0,0,0,0,0,0,0,0,19,19,19,19,16,16,13,13,13,13,10,10
8,1,0,0,0,0,0,0,0,0,19,19,19,19,15,15,13,13,13,13,9,9
9,18,20,20,20,20,19,19,19,19,0,0,0,0,8,4,0,0,0,0,8,4
10,17,20,20,20,20,19,19,19,19,0,0,0,0,7,3,0,0,0,0,7,3
11,16,20,20,20,20,19,19,19,19,0,0,0,0,6,2,0,0,0,0,6,2
12,15,20,20,20,20,19,19,19,19,0,0,0,0,5,1,0,0,0,0,5,1
13,20,18,17,16,15,18,17,16,15,8,7,6,5,0,0,8,7,6,5,0,0
14,19,18,17,16,15,18,17,16,15,4,3,2,1,0,0,4,3,2,1,0,0
15,12,14,14,14,14,13,13,13,13,0,0,0,0,8,4,0,0,0,0,8,4
16,11,14,14,14,14,13,13,13,13,0,0,0,0,7,3,0,0,0,0,7,3
17,10,14,14,14,14,13,13,13,13,0,0,0,0,6,2,0,0,0,0,6,2
18,9,14,14,14,14,13,13,13,13,0,0,0,0,5,1,0,0,0,0,5,1
19,14,12,11,10,9,12,11,10,9,8,7,6,5,0,0,8,7,6,5,0,0
20,13,12,11,10,9,12,11,10,9,4,3,2,1,0,0,4,3,2,1,0,0
