lhs_U_id,rhs_0,rhs_1,rhs_2,rhs_3,rhs_4,rhs_5,rhs_6,rhs_7,rhs_8,rhs_9,rhs_10,rhs_11,rhs_12,rhs_13,rhs_14
0,0,4,3,2,1,10,14,13,12,11,5,9,8,7,6
1,4,0,0,0,0,14,10,10,10,10,9,5,5,5,5
2,3,0,0,0,0,13,10,10,10,10,8,5,5,5,5
3,2,0,0,0,0,12,10,10,10,10,7,5,5,5,5
4,1,0,0,0,0,11,10,10,10,10,6,5,5,5,5
5,10,14,13,12,11,0,4,3,2,1,0,4,3,2,1
6,14,10,10,10,10,4,0,0,0,0,4,0,0,0,0
7,13,10,10,10,10,3,0,0,0,0,3,0,0,0,0
8,12,10,10,10,10,2,0,0,0,0,2,0,0,0,0
9,11,10,10,10,10,1,0,0,0,0,1,0,0,0,0
10,5,9,8,7,6,0,4,3,2,1,0,4,3,2,1
11,9,5,5,5,5,4,0,0,0,0,4,0,0,0,0
12,8,5,5,5,5,3,0,0,0,0,3,0,0,0,0
13,7,5,5,5,5,2,0,0,0,0,2,0,0,0,0
14,6,5,5,5,5,1,0,0,0,0,1,0,0,0,0
